Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,820,967,"1,838","2,172","2,356","2,395"
Expenses+,682,776,"1,600","1,861","2,015","1,998"
Operating Profit,138,191,238,312,341,396
OPM %,17%,20%,13%,14%,14%,17%
Other Income+,-3,11,15,28,34,27
Interest,7,5,29,27,7,7
Depreciation,32,31,56,55,62,62
Profit before tax,96,166,167,257,307,355
Tax %,26%,25%,30%,-32%,26%,28%
Net Profit+,69,123,117,339,226,256
EPS in Rs,70.66,100.03,95.03,275.04,168.99,186.65
Dividend Payout %,0%,0%,0%,0%,0%,235%
