Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,075","3,589","2,880","3,196","3,226","4,167","1,575","1,674","1,761","2,201","1,719","1,831","1,982"
Expenses+,"2,679","3,153","2,687","2,904","2,904","3,613","1,540","1,585","1,683","1,908","1,520","1,726","1,920"
Operating Profit,396,436,193,292,323,553,35,89,77,293,199,106,62
OPM %,13%,12%,7%,9%,10%,13%,2%,5%,4%,13%,12%,6%,3%
Other Income+,22,31,39,61,46,51,84,57,134,98,233,64,55
Interest,104,132,142,187,208,245,152,132,141,151,143,113,124
Depreciation,291,318,348,367,389,444,287,274,286,301,302,316,325
Profit before tax,24,17,-259,-201,-229,-85,-321,-260,-217,-60,-12,-260,-333
Tax %,-24%,36%,-25%,-20%,-12%,27%,-17%,-17%,-19%,-30%,93%,-10%,-11%
Net Profit+,29,11,-195,-162,-200,-108,-266,-215,-175,-42,-24,-234,-295
EPS in Rs,0.40,0.17,-1.97,-1.49,-1.89,-0.82,-2.26,-1.59,-1.36,-0.48,-0.14,-1.74,-2.16
Raw PDF,,,,,,,,,,,,,
