Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,600,583,622,588,611,521,853,818,849,837,901,881,919
Expenses+,567,540,566,546,579,474,784,753,777,771,823,806,841
Operating Profit,33,43,55,42,32,47,69,65,72,66,79,75,79
OPM %,6%,7%,9%,7%,5%,9%,8%,8%,9%,8%,9%,8%,9%
Other Income+,0,27,-1,-17,-85,1,-4,6,2,2,-8,3,2
Interest,7,9,13,14,13,15,16,17,18,20,18,17,15
Depreciation,22,25,28,24,24,21,33,32,32,33,36,36,37
Profit before tax,5,36,14,-13,-90,13,16,21,24,15,17,25,30
Tax %,99%,34%,31%,7%,-120%,29%,31%,32%,34%,97%,62%,25%,28%
Net Profit+,0,24,10,-14,18,9,11,15,16,0,7,19,21
EPS in Rs,0.03,14.58,5.87,-8.90,10.93,5.59,6.62,8.99,9.91,0.24,4.01,6.70,7.77
Raw PDF,,,,,,,,,,,,,
