Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,525,526,514,611,625,604,597,647,632,639,633,698,703
Expenses+,500,497,487,562,569,536,528,584,569,570,559,625,632
Operating Profit,25,30,27,48,56,68,69,63,63,70,73,73,71
OPM %,5%,6%,5%,8%,9%,11%,12%,10%,10%,11%,12%,10%,10%
Other Income+,11,8,4,7,3,4,5,14,0,9,8,22,8
Interest,24,26,32,31,32,32,47,37,38,40,46,47,46
Depreciation,67,68,80,79,79,80,119,92,91,93,96,93,97
Profit before tax,-55,-56,-80,-54,-51,-40,-92,-52,-65,-55,-60,-45,-63
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,-55,-56,-80,-54,-51,-40,-92,-52,-65,-55,-60,-45,-63
EPS in Rs,-1.01,-1.02,-1.48,-1.02,-0.93,-0.73,-1.72,-0.99,-1.21,-1.01,-0.97,-0.72,-1.01
Raw PDF,,,,,,,,,,,,,
