Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,243,281,325,288,279,354,385,311,300,343,388,309,312
Expenses+,209,241,254,239,237,292,300,264,258,285,300,265,266
Operating Profit,34,41,72,49,42,62,85,47,42,57,87,44,47
OPM %,14%,14%,22%,17%,15%,18%,22%,15%,14%,17%,23%,14%,15%
Other Income+,3,4,3,4,3,3,4,4,5,3,6,6,3
Interest,0,0,0,0,1,1,0,1,1,1,2,1,1
Depreciation,8,9,9,10,11,15,16,15,15,15,13,15,15
Profit before tax,28,35,65,42,33,50,73,36,31,45,79,35,34
Tax %,-31%,26%,26%,26%,24%,25%,25%,25%,27%,20%,27%,25%,25%
Net Profit+,37,26,49,32,25,38,54,27,22,36,57,26,25
EPS in Rs,7.80,5.52,10.23,6.52,5.32,7.82,11.27,5.50,4.75,7.56,11.95,5.44,5.27
Raw PDF,,,,,,,,,,,,,
