Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,192","2,999","3,301","3,631","3,856"
Expenses+,"1,906","2,656","2,880","3,159","3,360"
Operating Profit,285,343,421,472,496
OPM %,13%,11%,13%,13%,13%
Other Income+,44,47,68,99,105
Interest,10,38,26,36,44
Depreciation,36,40,51,56,62
Profit before tax,284,313,412,479,495
Tax %,26%,26%,25%,25%,
Net Profit+,211,232,308,357,369
EPS in Rs,41.85,47.39,62.63,72.99,75.36
Dividend Payout %,12%,53%,57%,66%,
