Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,518,504,534,515,604,563,624,605,681,602,682,674,808
Expenses+,464,449,460,451,528,492,541,541,599,538,618,630,704
Operating Profit,54,55,74,64,76,71,84,64,81,64,64,44,104
OPM %,10%,11%,14%,12%,13%,13%,13%,11%,12%,11%,9%,7%,13%
Other Income+,5,6,4,4,6,3,9,3,8,1,0,2,1
Interest,6,6,6,7,9,14,13,14,16,16,20,26,24
Depreciation,15,16,17,17,19,24,26,26,27,27,33,35,36
Profit before tax,38,38,55,44,53,35,53,27,47,21,11,-14,46
Tax %,23%,26%,16%,24%,26%,29%,23%,26%,27%,41%,86%,8%,31%
Net Profit+,29,29,46,33,39,25,41,20,34,13,1,-16,32
EPS in Rs,1.15,1.13,1.82,1.30,1.54,0.99,1.61,0.79,1.36,0.50,0.08,-0.60,1.27
Raw PDF,,,,,,,,,,,,,
