Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,302,522,644,818,"1,060","1,187"
Expenses+,297,510,625,779,"1,005","1,119"
Operating Profit,6,12,19,38,55,67
OPM %,2%,2%,3%,5%,5%,6%
Other Income+,0,10,6,4,7,9
Interest,2,2,4,15,24,31
Depreciation,0,1,5,7,9,9
Profit before tax,4,19,16,20,30,37
Tax %,26%,33%,-12%,-12%,-0%,
Net Profit+,3,12,18,23,30,37
EPS in Rs,833.33,6.88,7.03,8.40,9.93,12.53
Dividend Payout %,0%,15%,14%,12%,2%,
