Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,768","2,904","2,996","2,977","3,074","3,073","3,138","3,130","3,269","3,363","3,428","3,548","3,759"
Expenses+,"2,658","2,778","2,861","2,838","2,929","2,922","3,054","2,992","3,124","3,206","3,263","3,396","3,590"
Operating Profit,110,126,135,139,144,151,84,137,145,157,165,152,168
OPM %,4%,4%,4%,5%,5%,5%,3%,4%,4%,5%,5%,4%,4%
Other Income+,10,4,21,14,19,12,22,19,14,39,-283,26,20
Interest,28,31,32,33,35,40,40,42,40,41,38,41,37
Depreciation,33,34,39,36,40,42,49,43,42,41,38,42,48
Profit before tax,59,66,85,85,88,82,17,71,76,114,-194,96,104
Tax %,-14%,-58%,-9%,-6%,15%,55%,168%,10%,9%,11%,15%,3%,22%
Net Profit+,67,103,93,90,75,37,-12,64,69,102,-223,93,81
EPS in Rs,4.58,7.03,6.39,6.14,5.17,2.53,-0.81,4.46,4.77,7.08,-15.47,6.60,5.73
Raw PDF,,,,,,,,,,,,,
