Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,81,82,102,103
Expenses+,72,68,87,88
Operating Profit,9,14,15,15
OPM %,11%,17%,14%,15%
Other Income+,1,1,2,2
Interest,2,3,3,2
Depreciation,3,5,5,5
Profit before tax,6,7,9,10
Tax %,15%,14%,24%,
Net Profit+,5,6,7,8
EPS in Rs,3.18,3.71,3.66,4.02
Dividend Payout %,0%,7%,5%,
