Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,786,"1,154","1,745","3,548","3,956"
Expenses+,765,"1,117","1,668","3,351","3,726"
Operating Profit,20,37,78,197,230
OPM %,3%,3%,4%,6%,6%
Other Income+,11,1,4,33,36
Interest,8,11,21,45,50
Depreciation,1,1,6,11,12
Profit before tax,22,25,54,174,205
Tax %,22%,26%,25%,24%,
Net Profit+,17,19,40,133,155
EPS in Rs,1.58,1.73,3.06,9.04,10.71
Dividend Payout %,0%,12%,3%,0%,
