Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,342,384,396,419,451,456
Expenses+,329,368,379,398,421,424
Operating Profit,13,17,16,21,30,32
OPM %,4%,4%,4%,5%,7%,7%
Other Income+,1,0,1,1,2,0
Interest,12,10,10,10,11,11
Depreciation,0,1,1,1,1,2
Profit before tax,1,6,6,11,19,19
Tax %,22%,29%,27%,29%,30%,
Net Profit+,0,4,4,8,14,14
EPS in Rs,0.02,0.16,0.13,0.23,0.42,0.42
Dividend Payout %,0%,0%,0%,0%,0%,
