Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,174,234,293,332,294,303
Expenses+,153,200,237,260,265,272
Operating Profit,20,35,56,71,30,32
OPM %,12%,15%,19%,21%,10%,10%
Other Income+,10,11,7,4,12,11
Interest,10,7,6,6,2,2
Depreciation,15,14,15,15,15,15
Profit before tax,5,25,43,54,25,25
Tax %,34%,22%,27%,26%,25%,
Net Profit+,3,19,31,40,19,19
EPS in Rs,,,70.32,7.87,3.70,3.83
Dividend Payout %,16%,9%,6%,25%,41%,
