Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,788,973,"1,344","1,667"
Expenses+,685,829,"1,151","1,416"
Operating Profit,103,143,192,251
OPM %,13%,15%,14%,15%
Other Income+,5,9,-5,65
Interest,41,49,69,80
Depreciation,61,73,100,133
Profit before tax,5,29,19,103
Tax %,6%,25%,22%,
Net Profit+,5,22,15,78
EPS in Rs,1.46,3.14,1.96,10.40
Dividend Payout %,0%,0%,0%,
