Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,387","1,291","1,351","1,324","1,471","1,396","1,490","1,497","1,619","1,462","1,463","1,434","1,520"
Expenses+,979,930,899,906,989,927,958,988,"1,122","1,007",964,981,"1,054"
Operating Profit,408,361,452,418,482,468,532,508,497,454,498,453,465
OPM %,29%,28%,33%,32%,33%,34%,36%,34%,31%,31%,34%,32%,31%
Other Income+,11,10,18,-5,21,18,23,23,76,20,19,18,15
Interest,1,1,1,1,1,2,1,1,1,1,1,1,1
Depreciation,44,44,43,44,44,41,42,42,42,41,38,38,37
Profit before tax,374,327,426,369,458,443,511,489,530,433,478,432,442
Tax %,26%,26%,26%,26%,26%,26%,26%,26%,26%,25%,26%,26%,26%
Net Profit+,278,243,316,274,340,330,380,364,395,323,355,321,328
EPS in Rs,10.22,8.94,11.63,10.06,12.50,12.14,13.96,13.38,14.52,11.87,13.05,11.79,12.04
Raw PDF,,,,,,,,,,,,,
