Metric,TTM
Sales+,555
Expenses+,492
Operating Profit,63
OPM %,11%
Other Income+,2
Interest,46
Depreciation,32
Profit before tax,-13
Tax %,
Net Profit+,-9
EPS in Rs,-0.56
Dividend Payout %,
