Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,43,86,163,290,292,314
Expenses+,44,78,142,260,260,285
Operating Profit,-2,8,21,30,32,29
OPM %,-4%,9%,13%,10%,11%,9%
Other Income+,1,1,1,2,1,2
Interest,6,5,5,8,12,14
Depreciation,3,2,3,7,13,14
Profit before tax,-9,1,13,18,8,2
Tax %,-26%,28%,25%,33%,32%,
Net Profit+,-6,1,10,12,5,2
EPS in Rs,-5.95,0.60,9.24,10.82,4.66,1.84
Dividend Payout %,0%,0%,11%,0%,0%,
