Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,590,651,598,839,915
Expenses+,422,465,466,598,636
Operating Profit,168,186,132,241,279
OPM %,28%,29%,22%,29%,30%
Other Income+,7,17,25,30,21
Interest,13,5,9,13,15
Depreciation,15,23,40,45,49
Profit before tax,146,174,110,213,235
Tax %,26%,25%,25%,26%,
Net Profit+,109,130,82,158,176
EPS in Rs,9.67,10.47,6.22,11.95,13.24
Dividend Payout %,-0%,-0%,-0%,-0%,
