Metric,Dec 2005,Dec 2006,Dec 2007
Sales+,235,285,339
Expenses+,186,220,259
Operating Profit,49,65,80
OPM %,21%,23%,24%
Other Income+,15,6,8
Interest,1,1,1
Depreciation,4,5,6
Profit before tax,58,65,81
Tax %,32%,34%,34%
Net Profit+,40,43,54
EPS in Rs,25.78,27.71,34.84
Dividend Payout %,101%,0%,44%
