Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,198,256,775,157,246,259,601,520,"1,016","1,035","1,046",498,543
Expenses+,247,291,781,206,299,302,775,533,"1,025","1,045","1,074",506,545
Operating Profit,-49,-35,-6,-49,-53,-43,-174,-13,-9,-11,-28,-8,-1
OPM %,-25%,-14%,-1%,-31%,-22%,-17%,-29%,-2%,-1%,-1%,-3%,-2%,-0%
Other Income+,10,10,11,13,10,13,9,-11,14,38,98,9,13
Interest,50,51,63,55,69,57,60,53,62,64,45,51,53
Depreciation,12,12,13,12,13,14,14,14,14,13,29,15,13
Profit before tax,-101,-88,-72,-103,-126,-101,-239,-91,-70,-49,-4,-64,-54
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,-101,-88,-72,-103,-126,-101,-239,-91,-70,-49,-4,-64,-54
EPS in Rs,-1.06,-0.92,-0.76,-1.07,-1.31,-1.05,-2.49,-0.95,-0.73,-0.51,-0.05,-0.66,-0.56
Raw PDF,,,,,,,,,,,,,
