Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,756","1,795","1,694","1,829","1,854","1,875","1,873","2,107","2,116","2,136","2,174","2,353","2,435"
Expenses+,"1,437","1,449","1,379","1,487","1,513","1,550","1,543","1,731","1,748","1,766","1,782","1,922","1,979"
Operating Profit,319,345,315,342,340,324,330,376,369,370,393,430,456
OPM %,18%,19%,19%,19%,18%,17%,18%,18%,17%,17%,18%,18%,19%
Other Income+,23,18,33,31,31,26,31,25,28,35,34,43,28
Interest,1,1,1,1,2,1,1,2,1,1,2,1,1
Depreciation,52,53,52,54,56,60,62,68,73,78,83,81,88
Profit before tax,290,310,294,318,313,288,298,332,322,326,342,391,395
Tax %,26%,25%,25%,25%,26%,27%,26%,26%,27%,27%,26%,27%,27%
Net Profit+,215,231,219,237,233,210,220,245,236,237,252,287,289
EPS in Rs,13.78,14.78,14.03,15.18,14.89,13.41,14.06,15.70,15.13,15.18,16.10,18.37,18.51
Raw PDF,,,,,,,,,,,,,
