Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,140,144,131,135,159,152,135,142,177,177,154,165
Expenses+,90,99,91,91,103,102,96,99,114,115,109,116
Operating Profit,51,45,40,44,56,50,39,43,63,62,45,49
OPM %,36%,31%,30%,33%,35%,33%,29%,30%,36%,35%,29%,30%
Other Income+,2,-1,0,7,5,3,3,15,1,3,2,1
Interest,19,12,16,17,18,15,4,5,4,6,6,5
Depreciation,9,16,12,12,14,13,14,14,15,20,18,18
Profit before tax,25,15,12,21,29,26,25,39,45,39,22,28
Tax %,24%,29%,33%,31%,4%,30%,108%,31%,29%,32%,40%,42%
Net Profit+,19,11,8,15,27,18,-2,27,32,27,13,16
EPS in Rs,1.07,0.61,0.46,0.85,1.57,0.86,-0.09,1.25,1.51,1.24,0.63,0.76
Raw PDF,,,,,,,,,,,,
