Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,543","3,444","3,816","3,831","3,863"
Expenses+,"2,291","2,974","3,249","3,199","3,245"
Operating Profit,253,470,567,632,618
OPM %,10%,14%,15%,16%,16%
Other Income+,38,67,95,108,155
Interest,2,6,5,6,5
Depreciation,92,105,110,124,129
Profit before tax,196,427,546,609,639
Tax %,27%,26%,26%,24%,
Net Profit+,142,318,406,461,483
EPS in Rs,74.90,167.48,214.29,242.90,254.56
Dividend Payout %,16%,8%,8%,8%,
