Metric,Mar 2024,Mar 2025,TTM
Sales+,478,"1,605","2,229"
Expenses+,194,857,"1,241"
Operating Profit,284,748,987
OPM %,59%,47%,44%
Other Income+,17,59,123
Interest,47,257,290
Depreciation,48,256,354
Profit before tax,205,294,467
Tax %,19%,44%,
Net Profit+,166,165,288
EPS in Rs,159.25,5.15,9.83
Dividend Payout %,0%,0%,
