Metric,Mar 2024,Mar 2025
Sales+,"1,558","1,463"
Expenses+,"1,267","1,102"
Operating Profit,292,361
OPM %,19%,25%
Other Income+,11,9
Interest,34,34
Depreciation,36,41
Profit before tax,233,295
Tax %,27%,25%
Net Profit+,169,222
EPS in Rs,114.68,15.06
Dividend Payout %,5%,8%
