Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,124,183,705,166,99,282,694,401,749,828,520,866,338
Expenses+,194,196,672,176,129,289,674,402,761,814,477,832,413
Operating Profit,-71,-13,33,-10,-30,-7,20,-1,-12,13,44,33,-74
OPM %,-57%,-7%,5%,-6%,-31%,-2%,3%,-0%,-2%,2%,8%,4%,-22%
Other Income+,12,9,5,13,23,20,28,27,28,34,50,33,34
Interest,23,18,11,6,11,5,8,7,17,14,13,13,13
Depreciation,6,6,5,5,5,6,6,5,7,8,8,8,8
Profit before tax,-88,-28,22,-8,-24,2,35,13,-7,26,73,46,-62
Tax %,-32%,61%,65%,-15%,-16%,-6%,-19%,49%,-158%,-11%,16%,25%,-24%
Net Profit+,-59,-45,8,-7,-20,2,41,7,4,29,61,34,-47
EPS in Rs,-5.21,-3.60,0.61,-0.58,-1.42,0.15,2.93,0.48,0.29,2.07,4.35,2.45,-3.33
Raw PDF,,,,,,,,,,,,,
