Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,684,559,570,593,638,608,620,628,649,667,681,740,772
Expenses+,310,153,165,167,183,162,178,184,181,179,197,190,197
Operating Profit,375,406,405,426,455,446,442,444,468,488,484,550,575
OPM %,55%,73%,71%,72%,71%,73%,71%,71%,72%,73%,71%,74%,74%
Other Income+,4,6,-134,8,2,3,-33,13,3,6,26,27,-20
Interest,83,90,98,107,115,116,119,126,130,144,156,203,204
Depreciation,86,92,92,93,98,98,94,97,98,106,104,115,118
Profit before tax,209,229,81,234,245,235,196,234,242,242,249,259,233
Tax %,58%,45%,142%,42%,39%,38%,35%,41%,44%,40%,61%,36%,46%
Net Profit+,87,126,-34,137,150,147,127,138,135,145,96,167,127
EPS in Rs,1.33,1.95,-0.49,2.15,2.38,2.33,2.00,2.16,2.12,2.29,1.43,2.57,1.91
Raw PDF,,,,,,,,,,,,,
