Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,498","1,713","1,789","1,808","1,972"
Expenses+,"1,437","1,608","1,657","1,637","1,794"
Operating Profit,60,105,132,171,178
OPM %,4%,6%,7%,9%,9%
Other Income+,23,20,18,16,22
Interest,16,20,22,23,21
Depreciation,36,39,43,45,46
Profit before tax,31,66,84,119,133
Tax %,27%,26%,26%,26%,
Net Profit+,22,48,63,88,99
EPS in Rs,3.94,8.52,11.00,15.50,17.45
Dividend Payout %,22%,45%,0%,29%,
