Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,291,408,405,406,391
Expenses+,226,328,325,344,344
Operating Profit,65,80,79,62,47
OPM %,22%,20%,20%,15%,12%
Other Income+,6,11,8,12,14
Interest,9,11,9,10,10
Depreciation,10,13,14,16,16
Profit before tax,51,67,65,48,35
Tax %,30%,31%,37%,22%,
Net Profit+,36,46,41,38,27
EPS in Rs,10.13,12.09,10.42,8.35,6.63
Dividend Payout %,20%,20%,0%,0%,
