Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,829,887,899,996,993,"1,034","1,097","1,301","1,359","1,339","1,404","1,571"
Expenses+,810,867,873,968,964,"1,005","1,067","1,258","1,309","1,290","1,354","1,509"
Operating Profit,19,20,26,29,29,29,30,42,50,49,50,62
OPM %,2%,2%,3%,3%,3%,3%,3%,3%,4%,4%,4%,4%
Other Income+,2,1,1,2,2,9,13,11,8,7,6,5
Interest,13,13,14,18,16,17,10,11,10,10,11,12
Depreciation,5,7,6,6,6,7,7,7,8,8,9,10
Profit before tax,2,1,7,7,8,14,27,35,39,37,36,45
Tax %,-44%,490%,6%,23%,16%,-56%,25%,25%,25%,16%,17%,18%
Net Profit+,4,-4,6,5,7,21,21,26,29,31,30,37
EPS in Rs,8.05,-9.05,15.18,3.19,4.22,4.82,4.62,5.43,5.85,5.91,6.39,7.26
Raw PDF,,,,,,,,,,,,
