Metric,Mar 2006
Sales+,178
Expenses+,195
Operating Profit,-18
OPM %,-10%
Other Income+,60
Interest,3
Depreciation,3
Profit before tax,37
Tax %,6%
Net Profit+,35
EPS in Rs,
Dividend Payout %,4%
