Metric,Mar 20238m,Mar 2024,Mar 2025,TTM
Sales+,0,"1,916","2,283","2,426"
Expenses+,3,632,731,766
Operating Profit,-3,"1,284","1,552","1,660"
OPM %,,67%,68%,68%
Other Income+,0,88,126,115
Interest,0,337,394,438
Depreciation,0,520,586,610
Profit before tax,-3,515,698,727
Tax %,0%,-16%,31%,
Net Profit+,-3,599,483,485
EPS in Rs,,3.95,3.19,3.19
Dividend Payout %,0%,178%,199%,
