Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,622,904,"1,118","1,062","1,100","1,142"
Expenses+,506,720,898,918,912,946
Operating Profit,116,184,219,144,188,196
OPM %,19%,20%,20%,14%,17%,17%
Other Income+,20,23,21,28,35,38
Interest,14,17,26,40,49,50
Depreciation,34,37,42,51,60,63
Profit before tax,88,152,172,81,114,121
Tax %,25%,25%,23%,26%,29%,
Net Profit+,66,114,133,60,81,86
EPS in Rs,31.98,54.96,63.92,28.91,39.15,41.69
Dividend Payout %,47%,36%,31%,69%,51%,
