Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,572,611,556,615,615,600,562,616,618,654,603,658,642
Expenses+,476,509,468,510,517,508,487,538,542,566,526,572,575
Operating Profit,96,102,89,104,98,92,75,79,76,88,77,85,67
OPM %,17%,17%,16%,17%,16%,15%,13%,13%,12%,13%,13%,13%,10%
Other Income+,5,8,6,5,3,5,5,5,6,3,10,7,64
Interest,23,23,25,26,27,28,28,30,32,33,33,35,36
Depreciation,37,39,41,43,44,46,50,49,50,52,53,55,57
Profit before tax,42,48,28,41,30,23,2,5,1,6,1,2,37
Tax %,25%,24%,28%,29%,26%,25%,61%,28%,49%,-8%,-14%,26%,25%
Net Profit+,32,36,20,29,22,17,1,3,0,7,2,1,28
EPS in Rs,2.02,2.33,1.29,1.85,1.43,1.11,0.05,0.21,0.02,0.45,0.10,0.08,1.78
Raw PDF,,,,,,,,,,,,,
