Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,136,97,83,84
Expenses+,0,61,43,46,40
Operating Profit,-0,75,54,36,45
OPM %,,55%,56%,44%,53%
Other Income+,0,15,312,58,50
Interest,0,38,8,3,3
Depreciation,0,22,16,17,17
Profit before tax,-0,30,341,74,75
Tax %,0%,6%,27%,29%,
Net Profit+,-0,28,250,53,55
EPS in Rs,,,10.19,2.14,2.25
Dividend Payout %,0%,0%,5%,0%,
