Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,576,474,509,505,591,539,554,553,673,598,613,608,772
Expenses+,569,435,456,454,539,497,500,497,600,539,536,546,674
Operating Profit,7,39,53,50,52,43,53,56,73,59,77,61,98
OPM %,1%,8%,10%,10%,9%,8%,10%,10%,11%,10%,13%,10%,13%
Other Income+,-15,-10,-5,2,2,3,-13,2,6,4,6,7,6
Interest,6,5,4,3,3,2,2,2,2,1,1,1,2
Depreciation,16,14,13,13,13,13,14,14,14,15,15,16,16
Profit before tax,-30,10,31,36,38,31,24,43,64,47,66,52,85
Tax %,-30%,32%,33%,29%,32%,25%,13%,26%,25%,26%,26%,26%,26%
Net Profit+,-21,7,21,25,26,23,21,32,48,35,49,39,63
EPS in Rs,-1.07,0.36,1.06,1.32,1.34,1.19,1.11,1.66,2.47,1.81,2.56,2.00,3.25
Raw PDF,,,,,,,,,,,,,
