Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,448,497,470,474,474,496,487,479,476,483,532,514,509
Expenses+,420,463,429,435,433,455,439,437,430,444,464,455,456
Operating Profit,28,34,41,39,42,42,48,41,46,38,68,59,53
OPM %,6%,7%,9%,8%,9%,8%,10%,9%,10%,8%,13%,11%,10%
Other Income+,4,6,6,8,8,8,12,14,9,6,10,13,11
Interest,0,0,0,0,0,1,0,1,1,1,1,1,1
Depreciation,4,4,4,4,4,4,4,5,8,7,8,8,8
Profit before tax,28,35,43,42,45,45,55,50,46,37,69,64,55
Tax %,26%,26%,19%,26%,22%,25%,23%,26%,25%,-1%,13%,22%,26%
Net Profit+,20,26,34,31,35,34,43,37,35,37,60,50,41
EPS in Rs,11.73,14.89,19.75,17.90,20.21,19.27,24.63,21.30,19.86,21.43,34.26,28.51,23.50
Raw PDF,,,,,,,,,,,,,
