Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,889,893,895,943,926,966,981,934,997,"1,033","1,086","1,060","1,124"
Expenses+,212,210,247,234,220,228,234,230,370,258,776,239,256
Operating Profit,677,682,649,709,706,738,747,704,628,774,310,821,868
OPM %,76%,76%,72%,75%,76%,76%,76%,75%,63%,75%,29%,77%,77%
Other Income+,20,35,29,43,32,45,42,71,84,47,44,48,64
Interest,246,245,254,255,262,278,292,309,328,344,347,372,384
Depreciation,279,283,347,229,236,252,168,266,278,295,302,290,296
Profit before tax,172,190,77,268,240,253,328,200,106,182,-295,207,252
Tax %,25%,14%,54%,13%,10%,9%,14%,11%,"-1,348%",13%,-18%,25%,8%
Net Profit+,128,163,35,234,217,230,283,179,"1,530",158,-243,155,232
EPS in Rs,1.36,1.72,0.37,2.47,2.29,2.43,2.99,1.89,16.14,1.67,-2.56,1.64,2.45
Raw PDF,,,,,,,,,,,,,
