Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,767,689,653,720,690,591,551,691,682,632,603,656,596
Expenses+,721,645,596,656,629,552,545,647,651,608,585,628,570
Operating Profit,46,44,57,64,61,40,5,44,31,24,17,28,27
OPM %,6%,6%,9%,9%,9%,7%,1%,6%,5%,4%,3%,4%,4%
Other Income+,5,4,4,4,4,5,4,4,5,5,4,5,5
Interest,1,1,1,1,1,1,1,1,1,2,1,1,1
Depreciation,13,14,14,14,14,14,14,14,14,14,13,13,13
Profit before tax,36,33,46,53,51,30,-5,33,21,13,7,19,18
Tax %,25%,26%,26%,25%,25%,27%,-22%,25%,26%,29%,28%,26%,25%
Net Profit+,27,24,34,39,38,22,-4,25,16,9,5,14,13
EPS in Rs,11.75,10.58,14.57,17.02,16.45,9.48,-1.83,10.85,6.82,4.11,2.11,6.12,5.67
Raw PDF,,,,,,,,,,,,,
