Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,246,234,237,226,234,215,240,243,263,255,265,283,292
Expenses+,207,195,196,184,187,167,192,201,208,209,222,230,236
Operating Profit,40,39,41,42,47,48,48,42,54,46,43,53,57
OPM %,16%,17%,17%,19%,20%,22%,20%,17%,21%,18%,16%,19%,19%
Other Income+,0,0,1,1,2,2,0,3,2,2,1,1,1
Interest,1,4,1,1,1,1,0,1,4,-1,-0,7,2
Depreciation,6,4,4,5,5,6,6,6,5,6,6,5,5
Profit before tax,32,32,36,36,43,44,41,38,47,42,38,41,51
Tax %,26%,24%,26%,24%,27%,28%,8%,25%,27%,30%,22%,31%,27%
Net Profit+,24,24,27,28,32,31,38,28,34,30,30,28,37
EPS in Rs,14.26,14.18,15.81,16.39,18.73,18.49,22.17,16.73,20.13,17.59,17.45,16.68,22.03
Raw PDF,,,,,,,,,,,,,
