Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,842,695,611,588,729,738,623,588,750,727,650,609,834
Expenses+,724,615,531,527,649,653,545,533,678,648,598,569,737
Operating Profit,118,80,80,61,81,85,77,54,72,79,51,40,96
OPM %,14%,12%,13%,10%,11%,12%,12%,9%,10%,11%,8%,7%,12%
Other Income+,9,13,17,21,18,18,19,21,20,17,-55,17,15
Interest,1,2,3,3,3,3,5,4,5,4,4,4,4
Depreciation,12,13,16,15,16,17,17,17,17,17,19,19,19
Profit before tax,114,78,78,64,80,83,75,55,70,75,-26,35,88
Tax %,26%,25%,26%,26%,26%,26%,23%,26%,26%,24%,63%,27%,29%
Net Profit+,84,58,58,47,59,62,57,41,52,57,-42,26,63
EPS in Rs,6.05,4.15,4.29,3.46,4.28,4.51,4.24,3.01,3.86,4.27,-2.97,1.94,4.69
Raw PDF,,,,,,,,,,,,,
