Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,443,486,550,552,590
Expenses+,404,442,501,493,526
Operating Profit,39,45,49,59,64
OPM %,9%,9%,9%,11%,11%
Other Income+,2,4,3,-0,5
Interest,5,6,12,13,15
Depreciation,6,8,10,10,11
Profit before tax,30,36,30,36,45
Tax %,26%,26%,26%,22%,29%
Net Profit+,22,26,22,28,31
EPS in Rs,9.48,11.25,9.53,12.00,6.45
Dividend Payout %,0%,0%,0%,0%,0%
