Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,525,442,436,475,509,487,558,578,612,593,639,659,715
Expenses+,453,382,376,414,441,422,483,499,532,516,554,569,616
Operating Profit,72,60,60,61,68,65,75,79,81,78,85,89,99
OPM %,14%,14%,14%,13%,13%,13%,13%,14%,13%,13%,13%,14%,14%
Other Income+,2,3,5,4,4,5,4,3,4,4,9,6,6
Interest,2,2,2,2,0,0,0,0,0,0,0,0,0
Depreciation,16,16,16,14,13,15,16,15,16,16,17,17,19
Profit before tax,57,45,47,48,58,55,62,66,68,65,77,78,85
Tax %,28%,30%,19%,26%,25%,26%,25%,26%,26%,27%,24%,26%,25%
Net Profit+,41,32,38,36,43,40,46,49,50,47,59,58,64
EPS in Rs,15.50,12.14,14.46,13.50,16.53,15.40,17.56,18.58,19.06,17.86,22.36,21.85,24.19
Raw PDF,,,,,,,,,,,,,
