Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,240,294,351,580,831,"1,059"
Expenses+,216,252,310,343,604,443
Operating Profit,24,42,42,237,226,617
OPM %,10%,14%,12%,41%,27%,58%
Other Income+,0,1,2,22,37,44
Interest,18,22,24,188,256,330
Depreciation,25,37,39,298,392,487
Profit before tax,-19,-16,-19,-228,-385,-157
Tax %,-16%,0%,0%,-13%,-11%,-11%
Net Profit+,-16,-16,-19,-198,-342,-140
EPS in Rs,,,,,,
Dividend Payout %,0%,0%,0%,0%,0%,0%
