Metric,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,006",968,995,"1,118"
Expenses+,878,844,885,981
Operating Profit,128,124,110,137
OPM %,13%,13%,11%,12%
Other Income+,25,60,38,19
Interest,2,3,2,2
Depreciation,27,27,25,26
Profit before tax,124,155,120,128
Tax %,25%,22%,23%,
Net Profit+,92,121,93,95
EPS in Rs,106.90,140.14,107.56,109.79
Dividend Payout %,23%,14%,19%,
