Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,487,445,493,632,700,732,757,756,842,906,"1,133","1,026","1,156"
Expenses+,435,398,437,552,610,627,666,668,740,788,976,901,"1,002"
Operating Profit,52,47,57,80,90,106,92,88,102,118,157,125,155
OPM %,11%,11%,11%,13%,13%,14%,12%,12%,12%,13%,14%,12%,13%
Other Income+,8,7,-4,8,9,10,18,17,15,9,9,11,16
Interest,3,3,7,16,16,18,19,19,19,20,21,23,24
Depreciation,12,12,17,29,30,30,29,30,29,33,37,38,41
Profit before tax,44,39,29,43,53,68,62,56,70,74,108,74,104
Tax %,24%,28%,19%,30%,29%,30%,17%,26%,26%,25%,26%,27%,26%
Net Profit+,34,28,24,30,38,48,51,42,52,56,80,54,78
EPS in Rs,4.27,3.43,2.74,3.25,4.02,5.35,6.49,4.65,6.29,6.58,8.57,6.08,9.81
Raw PDF,,,,,,,,,,,,,
