Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,171,230,258,351
Expenses+,155,203,222,305
Operating Profit,16,27,35,46
OPM %,9%,12%,14%,13%
Other Income+,1,2,1,2
Interest,1,1,4,6
Depreciation,1,2,2,3
Profit before tax,15,26,31,39
Tax %,27%,26%,26%,26%
Net Profit+,11,19,23,29
EPS in Rs,12.54,4.65,5.44,6.92
Dividend Payout %,0%,0%,0%,0%
