Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,10,28,47,78,109,137,148
Expenses+,9,16,27,45,62,89,104
Operating Profit,1,12,20,33,47,48,45
OPM %,12%,43%,43%,42%,43%,35%,30%
Other Income+,0,0,1,1,0,0,0
Interest,0,0,0,0,0,0,1
Depreciation,0,0,0,1,1,2,3
Profit before tax,1,12,21,33,46,46,42
Tax %,24%,25%,24%,25%,26%,25%,
Net Profit+,1,9,16,25,34,34,31
EPS in Rs,,3.72,6.70,10.43,14.41,14.47,13.08
Dividend Payout %,0%,66%,43%,53%,68%,0%,
