Symbol,Type,Sector,Mcap
RELIANCE,Reliance Industr,Energy,2092931.64
HDFCBANK,Hdfcbank Bank,Financial Services,1535054.85
BHARTIARTL,Bhartiartl Airtel,Telecommunication,1296562.96
TCS,Tcs https,Information Technology,1139570.4
ICICIBANK,Icicibank Bank,Financial Services,978982.69
SBIN,Sbin https,Financial Services,897632.69
INFY,Infy https,Information Technology,641750.59
BAJFINANCE,Bajfinance Finance,Financial Services,624860.15
HINDUNILVR,Hindunilvr Unilever,Fast Moving Consumer Goods,571655.24
LICI,Lici Insurance,Financial Services,570767.79
LT,Lt & Toubro,Industrials,553616.41
ITC,Itc https,Fast Moving Consumer Goods,510922.66
MARUTI,Maruti Suzuki,Consumer Discretionary,502371.87
M&M,M&M & M,Consumer Discretionary,466361.4
HCLTECH,Hcltech Technologies,Information Technology,436370.6
SUNPHARMA,Sunpharma Pharma.Inds.,Healthcare,426901.56
KOTAKBANK,Kotakbank Mah. Bank,Financial Services,415528.64
AXISBANK,Axisbank Bank,Financial Services,395952.07
TITAN,Titan Company,Consumer Discretionary,346716.09
ULTRACEMCO,Ultracemco Cem.,Commodities,345579.21
BAJAJFINSV,Bajajfinsv Finserv,Financial Services,327841.32
ADANIPORTS,Adaniports Ports,Services,319700.24
NTPC,Ntpc https,Utilities,316596.2
ADANIENT,Adanient Enterp.,Commodities,313216.1
ONGC,Ongc N G C,Energy,310670
HAL,Hal Aeronautics,Industrials,307344.47
BEL,Bel Electron,Industrials,304342.64
ETERNAL,Eternal Ltd,Consumer Discretionary,291491
ADANIPOWER,Adanipower Power,Utilities,287592.36
JSWSTEEL,Jswsteel Steel,Commodities,278914.71
ASIANPAINT,Asianpaint Paints,Consumer Discretionary,275985.56
DMART,Dmart Super.,Consumer Discretionary,262868.97
POWERGRID,Powergrid Grid Corpn,Utilities,258091.66
WIPRO,Wipro https,Information Technology,256393.51
BAJAJ-AUTO,Bajaj-Auto Auto,Consumer Discretionary,248198.39
NESTLEIND,Nestleind India,Fast Moving Consumer Goods,246698.86
IOC,Ioc O C L,Energy,236388.98
COALINDIA,Coalindia India,Energy,233043.69
INDIGO,Indigo Aviat,Services,225851.22
TATASTEEL,Tatasteel Steel,Commodities,209735.42
SBILIFE,Sbilife Life Insuran,Financial Services,202727.12
EICHERMOT,Eichermot Motors,Consumer Discretionary,195733.13
VEDL,Vedl https,Commodities,194130.7
HINDZINC,Hindzinc Zinc,Commodities,193646.37
JIOFIN,Jiofin Financial,Financial Services,192853.94
HYUNDAI,Hyundai Motor I,Consumer Discretionary,189838.02
GRASIM,Grasim Inds,Commodities,186176.34
DLF,Dlf https,Consumer Discretionary,179643.69
