Symbol,Type,Sector,Mcap
USASEEDS,Upsurge Seeds,Agricultural Food & other Products Companies,
TBI,TBI Corn,Agricultural Food & other Products Companies,
532102,SBEC Sugar,Agricultural Food & other Products Companies,
544105,Harshdeep Horti.,Agricultural Food & other Products Companies,
ROML,Raj Oil Mills,Agricultural Food & other Products Companies,
VISHWARAJ,Vishwaraj Sugar,Agricultural Food & other Products Companies,
GANGESSECU,Ganges Securitie,Agricultural Food & other Products Companies,
538926,Naturite Agro,Agricultural Food & other Products Companies,
500319,Indian Sucrose,Agricultural Food & other Products Companies,
538564,James Warren Tea,Agricultural Food & other Products Companies,
519238,Saptarishi Agro,Agricultural Food & other Products Companies,
532879,Sir Shadi Lal,Agricultural Food & other Products Companies,
530077,Puretrop Fruits,Agricultural Food & other Products Companies,
OSWALSEEDS,Shreeoswal Seeds,Agricultural Food & other Products Companies,
532230,Bengal Tea & Fab,Agricultural Food & other Products Companies,
508136,B & A,Agricultural Food & other Products Companies,
GROBTEA,Grob Tea Co,Agricultural Food & other Products Companies,
NORBTEAEXP,Norben Tea,Agricultural Food & other Products Companies,
RAJSREESUG,Rajshree Sugars,Agricultural Food & other Products Companies,
KOHINOOR,Kohinoor Foods,Agricultural Food & other Products Companies,
541347,Parvati Sweetner,Agricultural Food & other Products Companies,
507498,Piccadily Sugar,Agricultural Food & other Products Companies,
543678,Ambo Agritec,Agricultural Food & other Products Companies,
538092,Shri Vasuprada,Agricultural Food & other Products Companies,
PRUDMOULI,Pruden. Sugar,Agricultural Food & other Products Companies,
531923,Dhampur.Spl.Sug.,Agricultural Food & other Products Companies,
532183,Gayatri Sugars,Agricultural Food & other Products Companies,
526899,Himalaya Food,Agricultural Food & other Products Companies,
507180,Kesar Enterprise,Agricultural Food & other Products Companies,
AGRITECH,Agri-Tech India,Agricultural Food & other Products Companies,
538921,Raghuvansh Agro.,Agricultural Food & other Products Companies,
519299,Prime Industries,Agricultural Food & other Products Companies,
530533,Terai Tea Co,Agricultural Food & other Products Companies,
SAIFL,Sameera Agro,Agricultural Food & other Products Companies,
531153,Diligent Indust.,Agricultural Food & other Products Companies,
526445,Indrayani Biotec,Agricultural Food & other Products Companies,
519234,Superior Indus.,Agricultural Food & other Products Companies,
523672,Flex Foods,Agricultural Food & other Products Companies,
NIRMAN,Nirman Agri,Agricultural Food & other Products Companies,
530997,Unique Organics,Agricultural Food & other Products Companies,
538539,Annvrridhhi Ven,Agricultural Food & other Products Companies,
524408,Universal Starch,Agricultural Food & other Products Companies,
508494,Warren Tea,Agricultural Food & other Products Companies,
DHANLAXMI,Dhanlaxmi Crop,Agricultural Food & other Products Companies,
544436,Vandan Foods,Agricultural Food & other Products Companies,
RCDL,Rajgor Castor,Agricultural Food & other Products Companies,
531832,Nag. Agri Tech.,Agricultural Food & other Products Companies,
543814,Prospect Consum.,Agricultural Food & other Products Companies,
VISHWAS,Vishwas Agri,Agricultural Food & other Products Companies,
530959,Diana Tea Co,Agricultural Food & other Products Companies,
511169,RKD Agri,Agricultural Food & other Products Companies,
