Symbol,Type,Sector,Mcap
RELIANCE,Reliance Industr,Petroleum Products Companies,2084812
HDFCBANK,HDFC Bank,Banks,1543327
BHARTIARTL,Bharti Airtel,Telecom - Services Companies,1264614
TCS,TCS,IT - Software Companies,1171609
ICICIBANK,ICICI Bank,Banks,995542
SBIN,SBI,Banks,896755
INFY,Infosys,IT - Software Companies,671470
BAJFINANCE,Bajaj Finance,Finance Companies,652116
LT,Larsen & Toubro,Construction Companies,555487
LICI,Life Insurance,Insurance Companies,550212
HINDUNILVR,Hind. Unilever,Diversified FMCG Companies,549475
MARUTI,Maruti Suzuki,Automobiles Companies,511910
ITC,ITC,Diversified FMCG Companies,507352
M&M,M & M,Automobiles Companies,462232
HCLTECH,HCL Technologies,IT - Software Companies,456710
SUNPHARMA,Sun Pharma.Inds.,Pharmaceuticals & Biotechnology Companies,433152
KOTAKBANK,Kotak Mah. Bank,Banks,428556
AXISBANK,Axis Bank,Banks,398068
ULTRACEMCO,UltraTech Cem.,Cement & Cement Products Companies,341739
TITAN,Titan Company,Consumer Durables Companies,338540
BAJAJFINSV,Bajaj Finserv,Finance Companies,334982
ADANIPORTS,Adani Ports,Transport Infrastructure Companies,326051
NTPC,NTPC,Power Companies,313493
ONGC,O N G C,Oil Companies,303474
ADANIENT,Adani Enterp.,Metals & Minerals Trading Companies,292844
ASIANPAINT,Asian Paints,Consumer Durables Companies,284738
JSWSTEEL,JSW Steel,Ferrous Metals Companies,284211
ETERNAL,Eternal Ltd,Retailing Companies,282364
ADANIPOWER,Adani Power,Power Companies,277275
WIPRO,Wipro,IT - Software Companies,272535
DMART,Avenue Super.,Retailing Companies,257176
BAJAJ-AUTO,Bajaj Auto,Automobiles Companies,254376
POWERGRID,Power Grid Corpn,Power Companies,250930
NESTLEIND,Nestle India,Food Products Companies,240442
COALINDIA,Coal India,Consumable Fuels Companies,234153
IOC,I O C L,Petroleum Products Companies,231108
HINDZINC,Hindustan Zinc,Non - Ferrous Metals Companies,210463
TATASTEEL,Tata Steel,Ferrous Metals Companies,208612
INDIGO,Interglobe Aviat,Transport Services Companies,207618
VEDL,Vedanta,Diversified Metals Companies,205100
SBILIFE,SBI Life Insuran,Insurance Companies,202917
EICHERMOT,Eicher Motors,Automobiles Companies,197715
JIOFIN,Jio Financial,Finance Companies,192981
HYUNDAI,Hyundai Motor I,Automobiles Companies,187656
GRASIM,Grasim Inds,Cement & Cement Products Companies,186939
LTIM,LTIMindtree,IT - Software Companies,186551
HINDALCO,Hindalco Inds.,Non - Ferrous Metals Companies,185003
DLF,DLF,Realty Companies,178161
TVSMOTOR,TVS Motor Co.,Automobiles Companies,174138
DIVISLAB,Divi's Lab.,Pharmaceuticals & Biotechnology Companies,171851
ADANIGREEN,Adani Green,Power Companies,167633
HDFCLIFE,HDFC Life Insur.,Insurance Companies,165710
VBL,Varun Beverages,Beverages Companies,162319
SHRIRAMFIN,Shriram Finance,Finance Companies,160831
BPCL,B P C L,Petroleum Products Companies,156316
TECHM,Tech Mahindra,IT - Software Companies,153885
MUTHOOTFIN,Muthoot Finance,Finance Companies,152562
BANKBARODA,Bank of Baroda,Banks,151314
PIDILITIND,Pidilite Inds.,Chemicals & Petrochemicals Companies,150123
IRFC,I R F C,Finance Companies,149765
TRENT,Trent,Retailing Companies,148704
CHOLAFIN,Cholaman.Inv.&Fn,Finance Companies,146005
BRITANNIA,Britannia Inds.,Food Products Companies,143582
PNB,Punjab Natl.Bank,Banks,139881
TATACAP,Tata Capital,Finance Companies,138149
CANBK,Canara Bank,Banks,134826
TMCV,Tata Motors,"Agricultural, Commercial & Construction Vehicles Companies",132398
AMBUJACEM,Ambuja Cements,Cement & Cement Products Companies,131946
TMPV,Tata Motors PVeh,Automobiles Companies,130207
TORNTPHARM,Torrent Pharma.,Pharmaceuticals & Biotechnology Companies,128126
HEROMOTOCO,Hero Motocorp,Automobiles Companies,127062
BAJAJHLDNG,Bajaj Holdings,Finance Companies,124433
CUMMINSIND,Cummins India,Industrial Products Companies,123878
MOTHERSON,Samvardh. Mothe.,Auto Components Companies,123540
TATAPOWER,Tata Power Co.,Power Companies,122861
CIPLA,Cipla,Pharmaceuticals & Biotechnology Companies,122846
SIEMENS,Siemens,Electrical Equipment Companies,118442
ADANIENSOL,Adani Energy Sol,Power Companies,117588
UNIONBANK,Union Bank (I),Banks,117023
IDEA,Vodafone Idea,Telecom - Services Companies,117010
PFC,Power Fin.Corpn.,Finance Companies,116378
GODREJCP,Godrej Consumer,Personal Products Companies,116241
SOLARINDS,Solar Industries,Chemicals & Petrochemicals Companies,115999
