symbol,Symbol,Sector,mcap
ACUTAAS,A,ACUTAAS----Acutaas Chemical,13928
FINEORG,A,FINEORG----Fineorg Organic,13894.85
APTUS,A,APTUS----Aptus Value Hou.,13858.44
BLUEDART,A,BLUEDART----Bluedart Dart Expres,13786.49
JPPOWER,A,JPPOWER----Jppower Power Ven.,13720.11
TECHNOE,A,TECHNOE----Technoe Elec.Engg,13607.2
KIRLOSBROS,A,KIRLOSBROS----Kirlosbros Brothers,13527.12
RAINBOW,A,RAINBOW----Rainbow Child.,13505.85
JMFINANCIL,A,JMFINANCIL----Jmfinancil Financial,13395.54
CEMPRO,A,CEMPRO----Cempro Project,13376.04
CCL,A,CCL----Ccl Products,13332.08
WELSPUNLIV,A,WELSPUNLIV----Welspunliv Living,13307.54
CELLO,A,CELLO----Cello World,13229.92
GRANULES,A,GRANULES----Granules India,13212.03
BLS,A,BLS----Bls Internat.,13210.76
SAMMAANCAP,A,SAMMAANCAP----Sammaancap Capital,13161.01
USHAMART,A,USHAMART----Ushamart Martin,13154.51
VTL,A,VTL----Vtl Textile,13067.41
PCBL,A,PCBL----Pcbl Chemical,13047.28
NUVOCO,A,NUVOCO----Nuvoco Vistas,13014.56
BBTC,A,BBTC----Bbtc Burmah,13001.07
PFOCUS,A,PFOCUS----Pfocus Focus,12996.57
AAVAS,A,AAVAS----Aavas Financiers,12924.37
BATAINDIA,A,BATAINDIA----Bataindia India,12854.07
NEWGEN,A,NEWGEN----Newgen Software,12831.48
ZENTEC,A,ZENTEC----Zentec Technologies,12766.34
JWL,A,JWL----Jwl Wagons,12667.03
TEGA,A,TEGA----Tega Inds.,12666.43
IEX,A,IEX----Iex Energy Ex,12577.42
GRAVITA,A,GRAVITA----Gravita India,12563.67
PARADEEP,A,PARADEEP----Paradeep Phosph.,12556.85
INDIACEM,A,INDIACEM----Indiacem Cements,12509.02
KSB,A,KSB----Ksb https,12498.39
CYIENT,A,CYIENT----Cyient https,12451.2
SPLPETRO,A,SPLPETRO----Splpetro Petroch.,12385.54
PRIVISCL,A,PRIVISCL----Priviscl Speci.,12276.38
INGERRAND,A,INGERRAND----Ingerrand Rand,12273.79
INDGN,A,INDGN----Indgn https,12249.51
JKTYRE,A,JKTYRE----Jktyre Tyre & Indust,12236.34
AETHER,A,AETHER----Aether Industri.,12225.18
LEMONTREE,A,LEMONTREE----Lemontree Tree Hotel,12169.61
HOMEFIRST,A,HOMEFIRST----Homefirst First Finan,12134.43
NSLNISP,A,NSLNISP----Nslnisp Steel,12062.33
MGL,A,MGL----Mgl Gas,11999.01
RITES,A,RITES----Rites https,11853.65
CANFINHOME,A,CANFINHOME----Canfinhome Fin Homes,11785.48
SBFC,A,SBFC----Sbfc Finance,11784.74
AVANTIFEED,A,AVANTIFEED----Avantifeed Feeds,11727.94
CANHLIFE,A,CANHLIFE----Canhlife HSBC,11655.52
TSFINV,A,TSFINV----Tsfinv Investments,11604.92
FINCABLES,A,FINCABLES----Fincables Cables,11593.58
SHRIPISTON,A,SHRIPISTON----Shripiston Pistons,11590.87
IXIGO,A,IXIGO----Ixigo Travenues,11589.14
BLACKBUCK,A,BLACKBUCK----Blackbuck https,11588.39
J&KBANK,A,J&KBANK----J&Kbank & K Bank,11565.77
ELECON,A,ELECON----Elecon Engg.Co,11545.26
JUBLINGREA,A,JUBLINGREA----Jublingrea Ingrev.,11491.24
TITAGARH,A,TITAGARH----Titagarh Rail,11451.85
ACE,A,ACE----Ace Const.Eq.,11432.61
SHAILY,A,SHAILY----Shaily Engineer.,11407.01
JYOTHYLAB,A,JYOTHYLAB----Jyothylab Labs,11381.81
EUREKAFORB,A,EUREKAFORB----Eurekaforb Forbes,11369.67
TDPOWERSYS,A,TDPOWERSYS----Tdpowersys Power Systems,11329.92
WAAREERTL,A,WAAREERTL----Waareertl Renewab.,11323.73
FINPIPE,A,FINPIPE----Finpipe Inds.,11279.06
SCI,A,SCI----Sci C I,11265.5
RUBICON,A,RUBICON----Rubicon Research,11184.49
SAFARI,A,SAFARI----Safari Inds.,11108.47
ALIVUS,A,ALIVUS----Alivus Life,11066.06
GODREJAGRO,A,GODREJAGRO----Godrejagro Agrovet,11045.39
NCC,A,NCC----Ncc https,11021.93
ENGINERSIN,A,ENGINERSIN----Enginersin India,10999.22
RAILTEL,A,RAILTEL----Railtel Corpn.,10985.69
EMBDL,A,EMBDL----Embdl Develop,10978.2
SANOFICONR,A,SANOFICONR----Sanoficonr Consumer,10948.35
AZAD,A,AZAD----Azad Engineering,10934
OLECTRA,A,OLECTRA----Olectra Greentec,10902.39
GRAPHITE,A,GRAPHITE----Graphite India,10824.1
PVRINOX,A,PVRINOX----Pvrinox Inox,10749
BSOFT,A,BSOFT----Bsoft Ltd,10631.83
EDELWEISS,A,EDELWEISS----Edelweiss Fin.,10582.35
GRINFRA,A,GRINFRA----Grinfra R Infraproject,10573.83
JINDALSAW,A,JINDALSAW----Jindalsaw Saw,10495.94
UJJIVANSFB,A,UJJIVANSFB----Ujjivansfb Small,10495.08
INOXINDIA,A,INOXINDIA----Inoxindia India,10434.19
VIKRAMSOLR,A,VIKRAMSOLR----Vikramsolr Solar,10408.79
SANOFI,A,SANOFI----Sanofi India,10393.89
VIJAYA,A,VIJAYA----Vijaya Diagnost.,10332.67
HFCL,A,HFCL----Hfcl https,10329.72
HCG,A,HCG----Hcg Global,10196.72
RELAXO,A,RELAXO----Relaxo Footwear,10164.22
METROPOLIS,A,METROPOLIS----Metropolis Healt,10139.22
BANCOINDIA,A,BANCOINDIA----Bancoindia Products,10127.34
TI,A,TI----Ti Inds.,10123.1
GENUSPOWER,A,GENUSPOWER----Genuspower Power,10106.99
PRUDENT,A,PRUDENT----Prudent Corp.,10075.12
VARROC,A,VARROC----Varroc Engineer,10036.61
SONATSOFTW,A,SONATSOFTW----Sonatsoftw Software,10026.87
SANSERA,A,SANSERA----Sansera Enginee.,10004.8
SOUTHBANK,A,SOUTHBANK----Southbank Ind.Bank,9996.43
LATENTVIEW,A,LATENTVIEW----Latentview View,9985.9
TTML,A,TTML----Ttml Tele. Mah.,9952.54
JKLAKSHMI,A,JKLAKSHMI----Jklakshmi Lakshmi Cem.,9879.09
SANDUMA,A,SANDUMA----Sanduma Manganese,9854.28
TIMETECHNO,A,TIMETECHNO----Timetechno Technoplast,9741.91
CLEAN,A,CLEAN----Clean Science,9737.89
HEG,A,HEG----Heg https,9732.51
RKFORGE,A,RKFORGE----Rkforge Forg.,9698.59
PGHL,A,PGHL----Pghl & G Health Ltd,9694.36
SKFINDIA,A,SKFINDIA----Skfindia India,9691.8
VESUVIUS,A,VESUVIUS----Vesuvius India,9691.43
BLUEJET,A,BLUEJET----Bluejet Jet Health,9629.17
NAZARA,A,NAZARA----Nazara Technolo.,9611.71
HAPPYFORGE,A,HAPPYFORGE----Happyforge Forgings,9574.49
INDIASHLTR,A,INDIASHLTR----Indiashltr SHELTE FIN,9558.75
RHIM,A,RHIM----Rhim Magnesita,9550.76
KRBL,A,KRBL----Krbl https,9511.65
ASKAUTOLTD,A,ASKAUTOLTD----Askautoltd Automotive,9496.34
JLHL,A,JLHL----Jlhl Life Lin,9460.29
GRWRHITECH,A,GRWRHITECH----Grwrhitech Hi Tech,9435
ZEEL,A,ZEEL----Zeel Entertainmen,9415.98
THANGAMAYL,A,THANGAMAYL----Thangamayl Jew.,9409.51
IIFLCAPS,A,IIFLCAPS----Iiflcaps Capital,9394.94
ABFRL,A,ABFRL----Abfrl Bir. Fas.,9367.18
MMTC,A,MMTC----Mmtc https,9352.77
HONASA,A,HONASA----Honasa Consumer,9336.4
MAPMYINDIA,A,MAPMYINDIA----Mapmyindia E. Info System,9322.94
ASTRAMICRO,A,ASTRAMICRO----Astramicro Microwave,9274.67
MEDPLUS,A,MEDPLUS----Medplus Health,9197.54
TARIL,A,TARIL----Taril R I L,9154.86
TTKPRESTIG,A,TTKPRESTIG----Ttkprestig Prestige,9137.62
ORKLAINDIA,A,ORKLAINDIA----Orklaindia India,9127.67
ARVIND,A,ARVIND----Arvind Ltd,9121.51
APOLLO,A,APOLLO----Apollo Micro Sys,9120.29
LUMAXTECH,A,LUMAXTECH----Lumaxtech Auto Tech.,9100.82
BALRAMCHIN,A,BALRAMCHIN----Balramchin Chini,9093.68
STARCEMENT,A,STARCEMENT----Starcement Cement,9081.68
GMRP&UI,A,GMRP&UI----Gmrp&Ui Urban,9058.14
CUPID,A,CUPID----Cupid https,9027.87
ALKYLAMINE,A,ALKYLAMINE----Alkylamine Amines,8954.53
TEJASNET,A,TEJASNET----Tejasnet Networks,8918.3
KPIGREEN,A,KPIGREEN----Kpigreen Green Energy,8867.55
BIRLACORPN,A,BIRLACORPN----Birlacorpn Corpn.,8805.25
TCI,A,TCI----Tci Corp.,8783.54
BBOX,A,BBOX----Bbox Box,8774.28
NESCO,A,NESCO----Nesco https,8710.32
ESABINDIA,A,ESABINDIA----Esabindia India,8707.36
LLOYDSENT,A,LLOYDSENT----Lloydsent Enterpris,8698.22
MARKSANS,A,MARKSANS----Marksans Pharma,8693.91
PGINVIT,A,PGINVIT----Pginvit Infra.,8691.4
TRANSRAILL,A,TRANSRAILL----Transraill Light,8683
WABAG,A,WABAG----Wabag Tech Wabag,8677.69
JSLL,A,JSLL----Jsll Sikho,8603.97
BLUESTONE,A,BLUESTONE----Bluestone Jewel,8601.88
GPPL,A,GPPL----Gppl Pipavav Port,8598.45
WESTLIFE,A,WESTLIFE----Westlife Food,8574.93
PNGJL,A,PNGJL----Pngjl N Gadgil Jewe.,8571.98
INOXGREEN,A,INOXGREEN----Inoxgreen Green,8548.85
SHAKTIPUMP,A,SHAKTIPUMP----Shaktipump Pumps,8510.71
V2RETAIL,A,V2RETAIL----V2Retail Retail,8503.48
ALOKINDS,A,ALOKINDS----Alokinds Industries,8440.96
RELIGARE,A,RELIGARE----Religare Enterp.,8339.91
WEWORK,A,WEWORK----Wework India,8317.44
MAHLIFE,A,MAHLIFE----Mahlife Life.,8313.33
LOTUSDEV,A,LOTUSDEV----Lotusdev Lotus,8310.75
BORORENEW,A,BORORENEW----Bororenew Renew.,8278.1
STAR,A,STAR----Star Pharma,8246.35
SAPPHIRE,A,SAPPHIRE----Sapphire Foods,8199.97
VOLTAMP,A,VOLTAMP----Voltamp Transform.,8174.69
THYROCARE,A,THYROCARE----Thyrocare Tech.,8152.32
RATEGAIN,A,RATEGAIN----Rategain Travel,8082.9
RCF,A,RCF----Rcf C F,8076.72
SUDARSCHEM,A,SUDARSCHEM----Sudarschem Chem.,8063.39
PGIL,A,PGIL----Pgil Global Ind,8018.72
MTARTECH,A,MTARTECH----Mtartech Technologie,8010.74
CAMPUS,A,CAMPUS----Campus Activewe.,7965.14
BECTORFOOD,A,BECTORFOOD----Bectorfood Bectors,7956.01
TRIVENI,A,TRIVENI----Triveni Engg.Ind.,7918.64
TMB,A,TMB----Tmb N Merc. Bank,7861.39
MANORAMA,A,MANORAMA----Manorama Indust.,7850.68
PRICOLLTD,A,PRICOLLTD----Pricolltd Ltd,7770.22
ETHOSLTD,A,ETHOSLTD----Ethosltd Ltd,7770.14
PCJEWELLER,A,PCJEWELLER----Pcjeweller Jeweller,7761.06
MAHSEAMLES,A,MAHSEAMLES----Mahseamles Seamless,7673.72
TANLA,A,TANLA----Tanla Platforms,7663.82
DIACABS,A,DIACABS----Diacabs Power,7614.2
HAPPSTMNDS,A,HAPPSTMNDS----Happstmnds Minds,7565.78
LLOYDSENGG,A,LLOYDSENGG----Lloydsengg Engineeri,7555.08
KIRLFER,A,KIRLFER----Kirlfer Ferrous,7542.57
POWERMECH,A,POWERMECH----Powermech Mech Proj.,7499.3
MAXESTATES,A,MAXESTATES----Maxestates Estates,7489.1
GSFC,A,GSFC----Gsfc S F C,7476.46
THOMASCOOK,A,THOMASCOOK----Thomascook Cook (I),7469.63
ATLANTAELE,A,ATLANTAELE----Atlantaele Electric,7424.38
KALPATARU,A,KALPATARU----Kalpataru https,7358.36
WELENT,A,WELENT----Welent Enterp,7357.38
DBREALTY,A,DBREALTY----Dbrealty Estate,7350.95
AJAXENGG,A,AJAXENGG----Ajaxengg Engineering,7336.51
YATHARTH,A,YATHARTH----Yatharth Hospit.,7321.79
GALAXYSURF,A,GALAXYSURF----Galaxysurf Surfact.,7313.39
EQUITASBNK,A,EQUITASBNK----Equitasbnk Sma. Fin,7308.88
GNFC,A,GNFC----Gnfc N F C,7230.95
SAREGAMA,A,SAREGAMA----Saregama India,7221.98
DODLA,A,DODLA----Dodla Dairy,7221.16
SHARDACROP,A,SHARDACROP----Shardacrop Cropchem,7220.64
CERA,A,CERA----Cera Sanitary.,7213.48
CSBBANK,A,CSBBANK----Csbbank Bank,7179.5
JAYNECOIND,A,JAYNECOIND----Jaynecoind Neco,7155.23
BALUFORGE,A,BALUFORGE----Baluforge Forge,7151.07
KTKBANK,A,KTKBANK----Ktkbank Bank,7137.02
GARFIBRES,A,GARFIBRES----Garfibres Tech.,7122.83
REDTAPE,A,REDTAPE----Redtape https,7092.6
KIRLPNU,A,KIRLPNU----Kirlpnu Pneumatic,7080.59
PRSMJOHNSN,A,PRSMJOHNSN----Prsmjohnsn Johnson,7050.63
IMFA,A,IMFA----Imfa Metals,7043.54
MASTEK,A,MASTEK----Mastek https,7031.97
OSWALPUMPS,A,OSWALPUMPS----Oswalpumps Pumps,6995.48
INDIAGLYCO,A,INDIAGLYCO----Indiaglyco Glycols,6983.82
AVL,A,AVL----Avl Vision,6983.81
DBL,A,DBL----Dbl Buildcon,6971.58
NETWORK18,A,NETWORK18----Network18 Media,6945.17
ASHAPURMIN,A,ASHAPURMIN----Ashapurmin Minech.,6935.4
IFBIND,A,IFBIND----Ifbind Industries,6877.57
GOKEX,A,GOKEX----Gokex Exports,6872.06
SHILPAMED,A,SHILPAMED----Shilpamed Medicare,6854.21
RAYMONDLSL,A,RAYMONDLSL----Raymondlsl Lifestyl,6837.42
RELINFRA,A,RELINFRA----Relinfra Infra.,6819.45
RUSTOMJEE,A,RUSTOMJEE----Rustomjee Realtor,6758.59
PNCINFRA,A,PNCINFRA----Pncinfra Infratech,6714.89
ARVINDFASN,A,ARVINDFASN----Arvindfasn Fashions.,6698.64
1285775,A,1285775----1285775 Pharma,6697.85
MHRIL,A,MHRIL----Mhril Holiday,6684.28
GANESHHOU,A,GANESHHOU----Ganeshhou Housing,6683.85
FDC,A,FDC----Fdc https,6680.19
ACI,A,ACI----Aci Chemical,6672.98
AKUMS,A,AKUMS----Akums Drugs,6631.01
MOIL,A,MOIL----Moil https,6625.54
AHLUCONT,A,AHLUCONT----Ahlucont Contr.,6621.72
SFL,A,SFL----Sfl Foam,6617.29
HNDFDS,A,HNDFDS----Hndfds Foods,6593.57
KOVAI,A,KOVAI----Kovai Medical,6549.39
AVALON,A,AVALON----Avalon Tech,6544.09
MIDHANI,A,MIDHANI----Midhani Dhatu Nig,6475.42
TIPSMUSIC,A,TIPSMUSIC----Tipsmusic Music,6445.93
UTLSOLAR,A,UTLSOLAR----Utlsolar Power,6401.85
EPL,A,EPL----Epl Ltd,6367.19
JUSTDIAL,A,JUSTDIAL----Justdial Dial,6363.96
SHREMINVIT,A,SHREMINVIT----Shreminvit InvIT,6352.78
VMART,A,VMART----Vmart Mart Retail,6338.38
GREENLAM,A,GREENLAM----Greenlam Industr,6326.36
JAIBALAJI,A,JAIBALAJI----Jaibalaji Balaji Inds.,6311.18
AARTIPHARM,A,AARTIPHARM----Aartipharm Pharma,6291.36
SMARTWORKS,A,SMARTWORKS----Smartworks Cowor,6286
JKPAPER,A,JKPAPER----Jkpaper Paper,6274.67
DYNAMATECH,A,DYNAMATECH----Dynamatech Tech.,6266.08
EPIGRAL,A,EPIGRAL----Epigral https,6257.67
SUPRAJIT,A,SUPRAJIT----Suprajit Engg.,6256.39
AXISCADES,A,AXISCADES----Axiscades Tech.,6254.77
ICIL,A,ICIL----Icil Count Inds.,6249.73
ISGEC,A,ISGEC----Isgec Heavy,6187.31
PRAJIND,A,PRAJIND----Prajind Industries,6152.18
PICCADIL,A,PICCADIL----Piccadil Agro,6132.53
INDIGOPNTS,A,INDIGOPNTS----Indigopnts Paints,6114.75
SUNTECK,A,SUNTECK----Sunteck Realty,6104.19
CRAMC,A,CRAMC----Cramc Robeco,6090.13
RTNINDIA,A,RTNINDIA----Rtnindia Ent,6066.75
QPOWER,A,QPOWER----Qpower Power El,6053.89
SEQUENT,A,SEQUENT----Sequent Scien.,6050.53
SUPRIYA,A,SUPRIYA----Supriya Lifesci.,5985.33
DCBBANK,A,DCBBANK----Dcbbank Bank,5981.8
SYMPHONY,A,SYMPHONY----Symphony https,5978.57
RENUKA,A,RENUKA----Renuka Renuka Sugar,5957.59
FIEMIND,A,FIEMIND----Fiemind Industries,5941.74
AURIONPRO,A,AURIONPRO----Aurionpro Sol.,5921.7
ICRA,A,ICRA----Icra https,5908.86
PILANIINVS,A,PILANIINVS----Pilaniinvs Invest.,5894.28
GOKULAGRO,A,GOKULAGRO----Gokulagro Agro,5864.48
CMSINFO,A,CMSINFO----Cmsinfo Info Systems,5837.91
PARAS,A,PARAS----Paras Defence,5812.79
GULFOILLUB,A,GULFOILLUB----Gulfoillub Oil Lubric.,5794.56
LGBBROSLTD,A,LGBBROSLTD----Lgbbrosltd G Balakrishnan,5777.42
MASFIN,A,MASFIN----Masfin FINANC SER,5754.79
PURVA,A,PURVA----Purva https,5743.92
ELLEN,A,ELLEN----Ellen Indl.Gas,5722.53
GHCL,A,GHCL----Ghcl https,5715.91
BAJAJELEC,A,BAJAJELEC----Bajajelec Electrical,5626.54
HGINFRA,A,HGINFRA----Hginfra G. Infra Engg.,5606.67
INFIBEAM,A,INFIBEAM----Infibeam Avenues,5604.13
SURYAROSNI,A,SURYAROSNI----Suryarosni Roshni,5603.83
DHANUKA,A,DHANUKA----Dhanuka Agritech,5594.14
PDSL,A,PDSL----Pdsl https,5584.89
TIIL,A,TIIL----Tiil Inds.,5579.94
SUBROS,A,SUBROS----Subros https,5545.99
KINGFA,A,KINGFA----Kingfa Science,5522.39
SAATVIKGL,A,SAATVIKGL----Saatvikgl Green,5515.9
RAJESHEXPO,A,RAJESHEXPO----Rajeshexpo Exports,5504.31
SKIPPER,A,SKIPPER----Skipper https,5476.94
SWANDEF,A,SWANDEF----Swandef Defence,5458.13
SKYGOLD,A,SKYGOLD----Skygold Gold & Diam.,5448.12
RTNPOWER,A,RTNPOWER----Rtnpower Pow.,5434.55
SJS,A,SJS----Sjs Enterprises,5425.25
VIPIND,A,VIPIND----Vipind I P Inds.,5395.83
JUNIPER,A,JUNIPER----Juniper Hotels,5376.76
FEDFINA,A,FEDFINA----Fedfina Financi.,5354.71
GMMPFAUDLR,A,GMMPFAUDLR----Gmmpfaudlr Pfaudler,5349.85
SWSOLAR,A,SWSOLAR----Swsolar & Wils.,5334.35
SHARDAMOTR,A,SHARDAMOTR----Shardamotr Motor,5305.38
TEXRAIL,A,TEXRAIL----Texrail Rail,5296.15
INDOTHAI,A,INDOTHAI----Indothai Thai Sec.,5291.45
KENNAMET,A,KENNAMET----Kennamet India,5251.37
SENCO,A,SENCO----Senco Gold,5247.99
KSCL,A,KSCL----Kscl Seed Co.,5244.73
INDUSINVIT,A,INDUSINVIT----Indusinvit Inf. Trust,5240.49
ORIANA,A,ORIANA----Oriana Power Ltd,5238.79
KRN,A,KRN----Krn Heat Exchan,5166.48
STLTECH,A,STLTECH----Stltech Tech.,5164.15
STYL,A,STYL----Styl Tech.,5135.55
ZOTA,A,ZOTA----Zota Health Care,5111.35
ZAGGLE,A,ZAGGLE----Zaggle Prepaid,5103.85
DATAMATICS,A,DATAMATICS----Datamatics Glob.,5092.47
IONEXCHANG,A,IONEXCHANG----Ionexchang Exchange,5088.26
RESPONIND,A,RESPONIND----Responind Ind,5078.77
LXCHEM,A,LXCHEM----Lxchem Organic,5069.3
GAEL,A,GAEL----Gael Ambuja Exp,5043.26
EMUDHRA,A,EMUDHRA----Emudhra https,5035.13
TVSSCS,A,TVSSCS----Tvsscs Supply,5025.49
ITDC,A,ITDC----Itdc T D C,5020.55
ASHOKA,A,ASHOKA----Ashoka Buildcon,5017.02
BANSALWIRE,A,BANSALWIRE----Bansalwire Wire Inds,5005.08
E2E,A,E2E----E2E E Networks,4987.45
UNIMECH,A,UNIMECH----Unimech Aero.,4982.19
MANINFRA,A,MANINFRA----Maninfra Infra,4969.15
SPICEJET,A,SPICEJET----Spicejet https,4963.12
NIITMTS,A,NIITMTS----Niitmts Learning,4947.4
AGI,A,AGI----Agi Greenpac,4925.44
IBULLSLTD,A,IBULLSLTD----Ibullsltd https,4885.85
PACEDIGITK,A,PACEDIGITK----Pacedigitk Digitek,4875
OPTIEMUS,A,OPTIEMUS----Optiemus Infra.,4867.45
RALLIS,A,RALLIS----Rallis India,4863.67
SHILCTECH,A,SHILCTECH----Shilctech Tech.,4849.84
CHEMPLASTS,A,CHEMPLASTS----Chemplasts Sanmar,4845.51
SHREEJISPG,A,SHREEJISPG----Shreejispg Ship. Gl,4836.97
PTC,A,PTC----Ptc India,4820.49
WEBELSOLAR,A,WEBELSOLAR----Webelsolar Energy,4819.21
IRBINVIT,A,IRBINVIT----Irbinvit InvIT Fund,4816.88
EMIL,A,EMIL----Emil Mart,4812.38
CAPILLARY,A,CAPILLARY----Capillary Tech.,4810.26
RPEL,A,RPEL----Rpel Product.,4805.18
SHOPERSTOP,A,SHOPERSTOP----Shoperstop Stop,4796.39
GREAVESCOT,A,GREAVESCOT----Greavescot Cotton,4772.77
RSYSTEMS,A,RSYSTEMS----Rsystems Systems Intl.,4765.6
JCHAC,A,JCHAC----Jchac Con. Hit,4763.69
CIGNITITEC,A,CIGNITITEC----Cignititec Tech.,4755.36
NDRINVIT,A,NDRINVIT----Ndrinvit INVIT Trust,4752.15
INDIQUBE,A,INDIQUBE----Indiqube Spaces,4737.47
JSFB,A,JSFB----Jsfb Small Finan,4734.92
INDRAMEDCO,A,INDRAMEDCO----Indramedco Medical,4729.62
VRLLOG,A,VRLLOG----Vrllog Logistics,4725.04
CRIZAC,A,CRIZAC----Crizac https,4706.06
LUMAXIND,A,LUMAXIND----Lumaxind Industries,4688.92
ELECTCAST,A,ELECTCAST----Electcast Cast.,4654.36
ANUP,A,ANUP----Anup Anup Enginee,4626.83
ENTERO,A,ENTERO----Entero Healthcar,4624.54
KNRCON,A,KNRCON----Knrcon Construct.,4605.84
PRECWIRE,A,PRECWIRE----Precwire Wires (I),4600.29
JKIL,A,JKIL----Jkil Kumar Infra,4581.54
DBCORP,A,DBCORP----Dbcorp B Corp,4565.86
SIS,A,SIS----Sis https,4564.2
BANARISUG,A,BANARISUG----Banarisug Amm.Sug.,4563.57
SWARAJENG,A,SWARAJENG----Swarajeng Engines,4552.29
VSTTILLERS,A,VSTTILLERS----Vsttillers Till. Tract.,4543.48
CARERATING,A,CARERATING----Carerating Ratings,4534.42
HUBTOWN,A,HUBTOWN----Hubtown https,4529.17
ARSSBL,A,ARSSBL----Arssbl Rathi Shar,4514.26
GUJTHEM,A,GUJTHEM----Gujthem Themis Bio.,4497
SUNFLAG,A,SUNFLAG----Sunflag Iron,4456.81
REFEX,A,REFEX----Refex Industries,4447.15
KITEX,A,KITEX----Kitex Garments,4426.3
SPARC,A,SPARC----Sparc https,4407.76
ARTEMISMED,A,ARTEMISMED----Artemismed Medicare,4405.08
GOLDIAM,A,GOLDIAM----Goldiam Intl.,4402.65
ORCHPHARMA,A,ORCHPHARMA----Orchpharma Pharma,4398.35
SGMART,A,SGMART----Sgmart Mart,4397.42
MIDWESTLTD,A,MIDWESTLTD----Midwestltd https,4379.75
HCC,A,HCC----Hcc Construct.,4370.41
INNOVACAP,A,INNOVACAP----Innovacap Captab,4354.27
BHARATRAS,A,BHARATRAS----Bharatras Rasayan,4354.26
NFL,A,NFL----Nfl Fertilizer,4346.53
HERITGFOOD,A,HERITGFOOD----Heritgfood Foods,4287.79
VSTIND,A,VSTIND----Vstind Industries,4282.21
RAMKY,A,RAMKY----Ramky Infra,4242.03
PARAGMILK,A,PARAGMILK----Paragmilk Milk Foods,4234.23
ROUTE,A,ROUTE----Route Mobile,4219.9
JAMNAAUTO,A,JAMNAAUTO----Jamnaauto Auto Inds.,4217.01
CEIGALL,A,CEIGALL----Ceigall India,4203.71
UEL,A,UEL----Uel Energy,4195.81
NORTHARC,A,NORTHARC----Northarc ARC,4165.07
GOPAL,A,GOPAL----Gopal Snacks,4152.37
SANATHAN,A,SANATHAN----Sanathan Textile,4144.74
INTERARCH,A,INTERARCH----Interarch Build.,4140.07
JTEKTINDIA,A,JTEKTINDIA----Jtektindia India,4131.76
HEIDELBERG,A,HEIDELBERG----Heidelberg Cem.,4110.34
AVANTEL,A,AVANTEL----Avantel https,4104.39
POCL,A,POCL----Pocl Oxides,4092.23
MOSCHIP,A,MOSCHIP----Moschip Tech.,4065
AARTIDRUGS,A,AARTIDRUGS----Aartidrugs Drugs,4062.63
SAMHI,A,SAMHI----Samhi Hotels,4044.78
GUJALKALI,A,GUJALKALI----Gujalkali Alkalies,4009.07
SUVEN,A,SUVEN----Suven Life Scie.,4004.7
VAIBHAVGBL,A,VAIBHAVGBL----Vaibhavgbl Global,4004.7
SMLMAH,A,SMLMAH----Smlmah Mahindra,4000.27
TARC,A,TARC----Tarc Ltd,3988.89
HEMIPROP,A,HEMIPROP----Hemiprop Prop,3943.66
BOROLTD,A,BOROLTD----Boroltd https,3937.2
AJMERA,A,AJMERA----Ajmera Realty,3905.07
AWFIS,A,AWFIS----Awfis Space,3898.35
ORIENTELEC,A,ORIENTELEC----Orientelec Electric,3883.07
TRUALT,A,TRUALT----Trualt Bioenergy,3848.14
BALAMINES,A,BALAMINES----Balamines Amines,3823.44
VADILALIND,A,VADILALIND----Vadilalind Inds.,3809.48
GOODLUCK,A,GOODLUCK----Goodluck India,3803.79
MARATHON,A,MARATHON----Marathon Nextgen,3797.05
BAJAJCON,A,BAJAJCON----Bajajcon Consumer,3794.78
KIRLOSIND,A,KIRLOSIND----Kirlosind Indus.,3789.87
RAIN,A,RAIN----Rain Industries,3773.56
SENORES,A,SENORES----Senores Pharma.,3761.12
DCAL,A,DCAL----Dcal Carbogen,3738.25
EIEL,A,EIEL----Eiel Infra,3736.13
RPGLIFE,A,RPGLIFE----Rpglife LifeScience.,3725.47
EBGNG,A,EBGNG----Ebgng Electronics,3702.21
NACLIND,A,NACLIND----Naclind Industries,3688.81
DPABHUSHAN,A,DPABHUSHAN----Dpabhushan P. Abhushan,3682.13
GRAUWEIL,A,GRAUWEIL----Grauweil & Weil,3679.44
UFLEX,A,UFLEX----Uflex https,3665.8
MANGCHEFER,A,MANGCHEFER----Mangchefer Chem.,3659.31
CENTUM,A,CENTUM----Centum Electron,3657.2
HARSHA,A,HARSHA----Harsha Engg Intl,3646.77
ORIENTCEM,A,ORIENTCEM----Orientcem Cement,3639.31
SHANTIGEAR,A,SHANTIGEAR----Shantigear Gears,3633.26
SHAREINDIA,A,SHAREINDIA----Shareindia India Sec.,3627.79
WONDERLA,A,WONDERLA----Wonderla Holiday,3611.11
TVSSRICHAK,A,TVSSRICHAK----Tvssrichak Srichakra,3603.96
EUROPRATIK,A,EUROPRATIK----Europratik Pratik Sale,3603.96
GREENPLY,A,GREENPLY----Greenply Industr,3603.63
RBA,A,RBA----Rba Brand,3600.33
MCLOUD,A,MCLOUD----Mcloud Cloud,3594.67
STYRENIX,A,STYRENIX----Styrenix Perfor.,3577.26
SEITINVIT,A,SEITINVIT----Seitinvit Ener,3564
ADVENZYMES,A,ADVENZYMES----Advenzymes Enzyme,3556.33
MPSLTD,A,MPSLTD----Mpsltd https,3544.18
GUFICBIO,A,GUFICBIO----Guficbio BioScience,3538.59
