symbol,Symbol,Sector,mcap
CHOLAFIN,A,CHOLAFIN----Cholafin Inv.&Fn,140196.15
BRITANNIA,A,BRITANNIA----Britannia Inds.,140014.33
AMBUJACEM,A,AMBUJACEM----Ambujacem Cements,135344.69
TATACAP,A,TATACAP----Tatacap Capital,134562.14
TMPV,A,TMPV----Tmpv Motors PVeh,133410.99
CANBK,A,CANBK----Canbk Bank,132303.37
BAJAJHLDNG,A,BAJAJHLDNG----Bajajhldng Holdings,129544.42
TORNTPHARM,A,TORNTPHARM----Torntpharm Pharma.,124884.8
SOLARINDS,A,SOLARINDS----Solarinds Industries,124558.72
TATAPOWER,A,TATAPOWER----Tatapower Power Co.,123691.51
CIPLA,A,CIPLA----Cipla https,122138.82
PFC,A,PFC----Pfc Fin.Corpn.,121988.4
GAIL,A,GAIL----Gail India),120487.71
CUMMINSIND,A,CUMMINSIND----Cumminsind India,120115.09
HEROMOTOCO,A,HEROMOTOCO----Heromotoco Motocorp,120081.97
TMCV,A,TMCV----Tmcv Motors,119473.88
ENRIN,A,ENRIN----Enrin Ener.Ind,118694.95
LODHA,A,LODHA----Lodha Developers,117371.13
TATACONSUM,A,TATACONSUM----Tataconsum Consumer,117172.81
ADANIENSOL,A,ADANIENSOL----Adaniensol Energy Sol,117118.71
BSE,A,BSE----Bse https,116251.08
MOTHERSON,A,MOTHERSON----Motherson Mothe.,115836.07
HDFCAMC,A,HDFCAMC----Hdfcamc AMC,115530.84
UNIONBANK,A,UNIONBANK----Unionbank Bank (I),115251.18
GODREJCP,A,GODREJCP----Godrejcp Consumer,115069.13
MAXHEALTH,A,MAXHEALTH----Maxhealth Healthcare,114944.86
INDIANB,A,INDIANB----Indianb Bank,114630.46
POLYCAB,A,POLYCAB----Polycab India,113310.99
SIEMENS,A,SIEMENS----Siemens https,113072.85
CGPOWER,A,CGPOWER----Cgpower Power & Ind,111849.53
LGEINDIA,A,LGEINDIA----Lgeindia Electronics,111484.88
MAZDOCK,A,MAZDOCK----Mazdock Dock,110765.24
GMRAIRPORT,A,GMRAIRPORT----Gmrairport Airports,109866.14
ABB,A,ABB----Abb B B,108095.91
IDEA,A,IDEA----Idea Idea,108018.01
IDBI,A,IDBI----Idbi Bank,107729.68
BOSCHLTD,A,BOSCHLTD----Boschltd https,107590.81
INDUSTOWER,A,INDUSTOWER----Industower Towers,106988.99
APOLLOHOSP,A,APOLLOHOSP----Apollohosp Hospitals,106297.02
JINDALSTEL,A,JINDALSTEL----Jindalstel Steel,105901.79
