Symbol,Type,Sector,Name,Mar Cap
RELIANCE,A,Energy,Reliance Industr,2092931.64
HDFCBANK,A,Financial Services,Hdfcbank Bank,1535054.85
BHARTIARTL,A,Telecommunication,Bhartiartl Airtel,1296562.96
TCS,A,Information Technology,Tcs https,1139570.4
ICICIBANK,A,Financial Services,Icicibank Bank,978982.69
SBIN,A,Financial Services,Sbin https,897632.69
INFY,A,Information Technology,Infy https,641750.59
BAJFINANCE,A,Financial Services,Bajfinance Finance,624860.15
HINDUNILVR,A,Fast Moving Consumer Goods,Hindunilvr Unilever,571655.24
LICI,A,Financial Services,Lici Insurance,570767.79
LT,A,Industrials,Lt & Toubro,553616.41
ITC,A,Fast Moving Consumer Goods,Itc https,510922.66
MARUTI,A,Consumer Discretionary,Maruti Suzuki,502371.87
M&M,A,Consumer Discretionary,M&M & M,466361.4
HCLTECH,A,Information Technology,Hcltech Technologies,436370.6
SUNPHARMA,A,Healthcare,Sunpharma Pharma.Inds.,426901.56
KOTAKBANK,A,Financial Services,Kotakbank Mah. Bank,415528.64
AXISBANK,A,Financial Services,Axisbank Bank,395952.07
TITAN,A,Consumer Discretionary,Titan Company,346716.09
ULTRACEMCO,A,Commodities,Ultracemco Cem.,345579.21
BAJAJFINSV,A,Financial Services,Bajajfinsv Finserv,327841.32
ADANIPORTS,A,Services,Adaniports Ports,319700.24
NTPC,A,Utilities,Ntpc https,316596.2
ADANIENT,A,Commodities,Adanient Enterp.,313216.1
ONGC,A,Energy,Ongc N G C,310670
HAL,A,Industrials,Hal Aeronautics,307344.47
BEL,A,Industrials,Bel Electron,304342.64
ETERNAL,A,Consumer Discretionary,Eternal Ltd,291491
ADANIPOWER,A,Utilities,Adanipower Power,287592.36
JSWSTEEL,A,Commodities,Jswsteel Steel,278914.71
ASIANPAINT,A,Consumer Discretionary,Asianpaint Paints,275985.56
DMART,A,Consumer Discretionary,Dmart Super.,262868.97
POWERGRID,A,Utilities,Powergrid Grid Corpn,258091.66
WIPRO,A,Information Technology,Wipro https,256393.51
BAJAJ-AUTO,A,Consumer Discretionary,Bajaj-Auto Auto,248198.39
NESTLEIND,A,Fast Moving Consumer Goods,Nestleind India,246698.86
IOC,A,Energy,Ioc O C L,236388.98
COALINDIA,A,Energy,Coalindia India,233043.69
INDIGO,A,Services,Indigo Aviat,225851.22
TATASTEEL,A,Commodities,Tatasteel Steel,209735.42
SBILIFE,A,Financial Services,Sbilife Life Insuran,202727.12
EICHERMOT,A,Consumer Discretionary,Eichermot Motors,195733.13
VEDL,A,Commodities,Vedl https,194130.7
HINDZINC,A,Commodities,Hindzinc Zinc,193646.37
