Symbol,Type,Sector
RELIANCE,A,Oil & Gas-Energy
HDFCBANK,A,Financial Services-Financial Services
BHARTIARTL,A,Financial Services-Telecommunication
TCS,A,Financial Services-Information Technology
ICICIBANK,A,Financial Services-Financial Services
SBIN,A,Financial Services-Financial Services
INFY,A,Financial Services-Information Technology
BAJFINANCE,A,Financial Services-Financial Services
HINDUNILVR,A,Financial Services-Fast Moving Consumer Goods
LICI,A,Financial Services-Financial Services
LT,A,Realty-
ITC,A,FMCG-
MARUTI,A,Automobile-
M&M,A,Financial Services-Consumer Discretionary
HCLTECH,A,IT-
SUNPHARMA,A,Financial Services-Healthcare
KOTAKBANK,A,Financial Services-
AXISBANK,A,Financial Services-
TITAN,A,FMCG-
ULTRACEMCO,A,Cement-
BAJAJFINSV,A,Financial Services-Financial Services
ADANIPORTS,A,Financial Services-Services
NTPC,A,Oil & Gas-Utilities
ADANIENT,A,Financial Services-Commodities
ONGC,A,Energy-
HAL,A,Aerospace & Defense-
BEL,A,Financial Services-Industrials
ETERNAL,A, Consumer Discretionary-
ADANIPOWER,A,Utilities-Power
JSWSTEEL,A,Financial Services-Commodities
ASIANPAINT,A, Consumer Discretionary-Paints
DMART,A, Consumer Discretionary-Retail
POWERGRID,A,Financial Services-Utilities
WIPRO,A,Financial Services-Information Technology
BAJAJ-AUTO,A, Consumer Discretionary-Automobiles
NESTLEIND,A,Financial Services-Fast Moving Consumer Goods
IOC,A,Oil & Gas-Energy
COALINDIA,A,Energy-
INDIGO,A,Financial Services-Services
TATASTEEL,A,Financial Services-Commodities
SBILIFE,A,Financial Services-Financial Services
EICHERMOT,A,Financial Services-Consumer Discretionary
VEDL,A,Oil & Gas-Commodities
HINDZINC,A,Financial Services-Commodities
JIOFIN,A,Financial Services-Financial Services
HYUNDAI,A,Financial Services-Consumer Discretionary
GRASIM,A,Financial Services-Commodities
DLF,A,Financial Services-Consumer Discretionary
LTIM,A,Financial Services-Information Technology
HINDALCO,A,Financial Services-Commodities
ADANIGREEN,A,Financial Services-Utilities
DIVISLAB,A,Financial Services-Healthcare
HDFCLIFE,A,Financial Services-Financial Services
TVSMOTOR,A,Financial Services-Consumer Discretionary
BPCL,A,Oil & Gas-Energy
IRFC,A,Financial Services-Financial Services
SHRIRAMFIN,A,Financial Services-Financial Services
TRENT,A,Financial Services-Consumer Discretionary
VBL,A,Financial Services-Fast Moving Consumer Goods
PIDILITIND,A,Financial Services-Commodities
BANKBARODA,A,Financial Services-Financial Services
MUTHOOTFIN,A,Financial Services-Financial Services
TECHM,A,Financial Services-Information Technology
PNB,A,Financial Services-Financial Services
CHOLAFIN,A,Financial Services-Financial Services
BRITANNIA,A,Financial Services-Fast Moving Consumer Goods
AMBUJACEM,A,Financial Services-Commodities
TATACAP,A,Financial Services-Financial Services
TMPV,A,Financial Services-Consumer Discretionary
CANBK,A,Financial Services-Financial Services
BAJAJHLDNG,A,Financial Services-Financial Services
TORNTPHARM,A,Financial Services-Healthcare
SOLARINDS,A,Financial Services-Commodities
TATAPOWER,A,Financial Services-Utilities
CIPLA,A,Financial Services-Healthcare
PFC,A,Financial Services-Financial Services
GAIL,A,Oil & Gas-Energy
CUMMINSIND,A,Financial Services-Industrials
HEROMOTOCO,A,Financial Services-Consumer Discretionary
TMCV,A,Financial Services-Industrials
ENRIN,A,Financial Services-Industrials
LODHA,A,Financial Services-Consumer Discretionary
TATACONSUM,A,Financial Services-Fast Moving Consumer Goods
ADANIENSOL,A,Financial Services-Utilities
BSE,A,Financial Services-Financial Services
MOTHERSON,A,Financial Services-Consumer Discretionary
HDFCAMC,A,Financial Services-Financial Services
UNIONBANK,A,Financial Services-Financial Services
GODREJCP,A,Financial Services-Fast Moving Consumer Goods
MAXHEALTH,A,Financial Services-Healthcare
INDIANB,A,Financial Services-Financial Services
POLYCAB,A,Financial Services-Industrials
SIEMENS,A,Oil & Gas-Industrials
CGPOWER,A,Financial Services-Industrials
LGEINDIA,A,Financial Services-Consumer Discretionary
MAZDOCK,A,Financial Services-Industrials
GMRAIRPORT,A,Financial Services-Services
ABB,A,Financial Services-Industrials
IDEA,A,Financial Services-Telecommunication
IDBI,A,Financial Services-Financial Services
BOSCHLTD,A,Financial Services-Consumer Discretionary
INDUSTOWER,A,Financial Services-Telecommunication
APOLLOHOSP,A,Financial Services-Healthcare
JINDALSTEL,A,Oil & Gas-Commodities
INDHOTEL,A,Financial Services-Consumer Discretionary
DRREDDY,A,Financial Services-Healthcare
UNITDSPR,A,Financial Services-Fast Moving Consumer Goods
HINDPETRO,A,Oil & Gas-Energy
ICICIGI,A,Financial Services-Financial Services
PERSISTENT,A,Financial Services-Information Technology
BHEL,A,Oil & Gas-Industrials
GROWW,A,Financial Services-Financial Services
SWIGGY,A,Financial Services-Consumer Discretionary
POWERINDIA,A,Financial Services-Industrials
MARICO,A,Financial Services-Fast Moving Consumer Goods
SHREECEM,A,Financial Services-Commodities
RECLTD,A,Financial Services-Financial Services
ZYDUSLIFE,A,Financial Services-Healthcare
LUPIN,A,Financial Services-Healthcare
MANKIND,A,Financial Services-Healthcare
WAAREEENER,A,Financial Services-Industrials
DABUR,A,Financial Services-Fast Moving Consumer Goods
DIXON,A,Financial Services-Consumer Discretionary
HAVELLS,A,Financial Services-Consumer Discretionary
ICICIPRULI,A,Financial Services-Financial Services
BAJAJHFL,A,Financial Services-Financial Services
BHARTIHEXA,A,Financial Services-Telecommunication
NAUKRI,A,Financial Services-Consumer Discretionary
ABCAPITAL,A,Financial Services-Financial Services
ASHOKLEY,A,Financial Services-Industrials
JSWENERGY,A,Financial Services-Utilities
SRF,A,Financial Services-Commodities
POLICYBZR,A,Financial Services-Financial Services
SBICARD,A,Financial Services-Financial Services
NTPCGREEN,A,Financial Services-Utilities
PAYTM,A,Financial Services-Financial Services
NHPC,A,Financial Services-Utilities
NYKAA,A,Financial Services-Consumer Discretionary
SUZLON,A,Financial Services-Industrials
IOB,A,Financial Services-Financial Services
GVT&D,A,Financial Services-Industrials
UNOMINDA,A,Financial Services-Consumer Discretionary
PRESTIGE,A,Financial Services-Consumer Discretionary
LENSKART,A,Financial Services-Consumer Discretionary
LTF,A,Financial Services-Financial Services
OFSS,A,Financial Services-Information Technology
AUROPHARMA,A,Financial Services-Healthcare
YESBANK,A,Financial Services-Financial Services
FORTIS,A,Financial Services-Healthcare
OIL,A,Oil & Gas-Energy
AUBANK,A,Financial Services-Financial Services
ALKEM,A,Financial Services-Healthcare
BERGEPAINT,A,Financial Services-Consumer Discretionary
BHARATFORG,A,Financial Services-Consumer Discretionary
IDFCFIRSTB,A,Financial Services-Financial Services
ATGL,A,Oil & Gas-Energy
GICRE,A,Financial Services-Financial Services
COROMANDEL,A,Financial Services-Commodities
BANKINDIA,A,Financial Services-Financial Services
INDUSINDBK,A,Financial Services-Financial Services
RVNL,A,Financial Services-Industrials
TORNTPOWER,A,Financial Services-Utilities
LLOYDSME,A,Financial Services-Commodities
MRF,A,Financial Services-Consumer Discretionary
NMDC,A,Financial Services-Commodities
UPL,A,Financial Services-Commodities
GODREJPROP,A,Financial Services-Consumer Discretionary
PATANJALI,A,Financial Services-Fast Moving Consumer Goods
ABBOTINDIA,A,Financial Services-Healthcare
JSL,A,Financial Services-Commodities
SCHAEFFLER,A,Financial Services-Consumer Discretionary
HDBFS,A,Financial Services-Financial Services
VMM,A,Financial Services-Consumer Discretionary
PHOENIXLTD,A,Financial Services-Consumer Discretionary
FEDERALBNK,A,Financial Services-Financial Services
OBEROIRLTY,A,Financial Services-Consumer Discretionary
COFORGE,A,Financial Services-Information Technology
COLPAL,A,Financial Services-Fast Moving Consumer Goods
MFSL,A,Financial Services-Financial Services
FACT,A,Financial Services-Commodities
MOTILALOFS,A,Financial Services-Financial Services
JSWINFRA,A,Financial Services-Services
NAM-INDIA,A,Financial Services-Financial Services
TIINDIA,A,Oil & Gas-Consumer Discretionary
BDL,A,Financial Services-Industrials
SAIL,A,Financial Services-Commodities
IRCTC,A,Financial Services-Consumer Discretionary
TATACOMM,A,Financial Services-Telecommunication
BIOCON,A,Financial Services-Healthcare
KRT,A,Information Technology-Consumer Discretionary
LAURUSLABS,A,Financial Services-Healthcare
MPHASIS,A,Financial Services-Information Technology
SUNDARMFIN,A,Financial Services-Financial Services
PIIND,A,Financial Services-Commodities
GLENMARK,A,Financial Services-Healthcare
KALYANKJIL,A,Financial Services-Consumer Discretionary
LINDEINDIA,A,Financial Services-Commodities
MCX,A,Financial Services-Financial Services
APLAPOLLO,A,Financial Services-Industrials
M&MFIN,A,Financial Services-Financial Services
VOLTAS,A,Financial Services-Consumer Discretionary
360ONE,A,Financial Services-Financial Services
HUDCO,A,Financial Services-Financial Services
NATIONALUM,A,Financial Services-Commodities
UBL,A,Financial Services-Fast Moving Consumer Goods
AIIL,A,Financial Services-Financial Services
LTTS,A,Financial Services-Information Technology
MAHABANK,A,Financial Services-Financial Services
GODFRYPHLP,A,Financial Services-Fast Moving Consumer Goods
BALKRISIND,A,Financial Services-Consumer Discretionary
PREMIERENE,A,Financial Services-Industrials
COCHINSHIP,A,Financial Services-Industrials
SUPREMEIND,A,Plastic Products - Industrial-
RADICO,A,Beverages-Breweries & Distilleries
HEXT,A,Financial Services-Information Technology
JKCEMENT,A,Financial Services-Commodities
ITCHOTELS,A,Financial Services-Consumer Discretionary
PAGEIND,A,Textiles & Apparels-
GLAXO,A, Pharmaceuticals-
PGHH,A,Financial Services-Fast Moving Consumer Goods
NH,A,Financial Services-Healthcare
PETRONET,A,Energy-
EMBASSY,A,Information Technology-Consumer Discretionary
IREDA,A,Financial Services-
ESCORTS,A,"Agricultural, Commercial & Construction Vehicles-"
3MINDIA,A,Financial Services-Diversified
KAYNES,A,Industrial Products-
KEI,A,Financial Services-Industrials
ASTRAL,A,Financial Services-Industrials
CONCOR,A,Financial Services-Services
JUBLFOOD,A,Financial Services-Consumer Discretionary
PWL,A,Financial Services-Consumer Discretionary
UCOBANK,A,Financial Services-
PIRAMALFIN,A,Financial Services-
POONAWALLA,A,Financial Services-Financial Services
FLUOROCHEM,A, Pharmaceuticals-
ENDURANCE,A,Auto Components & Equipments-
TATAINVEST,A,Financial Services-Financial Services
DALBHARAT,A,Cement & Cement Products-
KPRMILL,A,Textiles & Apparels-
APARINDS,A,Financial Services-Industrials
IPCALAB,A,Financial Services-Healthcare
BLUESTARCO,A,Financial Services-Consumer Discretionary
ANTHEM,A,Financial Services-Healthcare
AWL,A,Financial Services-Fast Moving Consumer Goods
GODREJIND,A,Financial Services-Diversified
AIAENG,A,Financial Services-Industrials
CHOLAHLDNG,A,Financial Services-Financial Services
CENTRALBK,A,Financial Services-Financial Services
ACC,A,Financial Services-Commodities
THERMAX,A,Financial Services-Industrials
NLCINDIA,A,Financial Services-Utilities
ASTERDM,A,Financial Services-Healthcare
CDSL,A,Financial Services-Financial Services
TATAELXSI,A,Financial Services-Information Technology
CRISIL,A,Financial Services-Financial Services
MEDANTA,A,Financial Services-Healthcare
APOLLOTYRE,A,Financial Services-Consumer Discretionary
GODIGIT,A,Financial Services-Financial Services
GRSE,A,Financial Services-Industrials
MSUMI,A,Financial Services-Consumer Discretionary
KPITTECH,A,Financial Services-Information Technology
EXIDEIND,A,Financial Services-Consumer Discretionary
SJVN,A,Financial Services-Utilities
SONACOMS,A,Financial Services-Consumer Discretionary
DELHIVERY,A,Financial Services-Services
METROBRAND,A,Financial Services-Consumer Discretionary
AJANTPHARM,A,Financial Services-Healthcare
NAVINFLUOR,A,Financial Services-Commodities
NBCC,A,Financial Services-Industrials
HINDCOPPER,A,Financial Services-Commodities
HONAUT,A,Financial Services-Industrials
LICHSGFIN,A,Financial Services-Financial Services
MRPL,A,Oil & Gas-Energy
GLAND,A,Financial Services-Healthcare
TVSHLTD,A,Financial Services-Financial Services
AEGISVOPAK,A,Oil & Gas-Energy
STARHEALTH,A,Financial Services-Financial Services
NIACL,A,Financial Services-Financial Services
ITI,A,Financial Services-Telecommunication
MINDSPACE,A,Information Technology-Consumer Discretionary
IGL,A,Oil & Gas-Energy
NHIT,A,Information Technology-Services
GUJGASLTD,A,Oil & Gas-Energy
TATATECH,A,Financial Services-Information Technology
JBCHEPHARM,A,Financial Services-Healthcare
PINELABS,A,Financial Services-Financial Services
GILLETTE,A,Financial Services-Fast Moving Consumer Goods
IKS,A,Financial Services-Information Technology
AEGISLOG,A,Oil & Gas-Energy
KIMS,A,Financial Services-Healthcare
