Symbol	Type	Sector	Mcap
MCLEODRUSS	Mcleod Russel	Agricultural Food & other Products Companies	1
SUKHJITS	Sukhjit Starch	Agricultural Food & other Products Companies	1
UGARSUGAR	Ugar Sugar Works	Agricultural Food & other Products Companies	1
GOKUL	Gokul Refoils	Agricultural Food & other Products Companies	1
KRITINUT	Kriti Nutrients	Agricultural Food & other Products Companies	1
500166	Goodricke Group	Agricultural Food & other Products Companies	1
543531	Tierra Agrotech	Agricultural Food & other Products Companies	1
540404	Prime Fresh	Agricultural Food & other Products Companies	1
MAWANASUG	Mawana Sugars	Agricultural Food & other Products Companies	1
544213	Aelea Commoditi.	Agricultural Food & other Products Companies	1
KCPSUGIND	KCP Sugar &Inds.	Agricultural Food & other Products Companies	1
SAWALIYA	Sawaliya Food	Agricultural Food & other Products Companies	1
544535	BharatRohan Air.	Agricultural Food & other Products Companies	1
NATHBIOGEN	Nath Bio-Genes	Agricultural Food & other Products Companies	1
INDOUS	Indo US Bio-Tech	Agricultural Food & other Products Companies	1
JAYSREETEA	Jay Shree Tea	Agricultural Food & other Products Companies	1
SHETHJI	Shreeji Global	Agricultural Food & other Products Companies	1
KMSUGAR	KM Sugar Mills	Agricultural Food & other Products Companies	1
RBS	Ramdevbaba Sol.	Agricultural Food & other Products Companies	1
PKTEA	Peria Kara. Tea	Agricultural Food & other Products Companies	1
PONNIERODE	Ponni Sug.Erode	Agricultural Food & other Products Companies	1
519216	Ajanta Soya	Agricultural Food & other Products Companies	1
KOTARISUG	Kothari Sugars	Agricultural Food & other Products Companies	1
GILLANDERS	Gillanders Arbut	Agricultural Food & other Products Companies	1
MKPL	M K Proteins	Agricultural Food & other Products Companies	1
539854	Halder Venture	Agricultural Food & other Products Companies	1
531069	Vijay Solvex	Agricultural Food & other Products Companies	1
SAKHTISUG	Sakthi Sugars	Agricultural Food & other Products Companies	1
508670	Neelamalai Agro	Agricultural Food & other Products Companies	1
UNITEDTEA	United Nilgiri	Agricultural Food & other Products Companies	1
KCK	KCK Industries	Agricultural Food & other Products Companies	1
ROSSELLIND	Rossell India	Agricultural Food & other Products Companies	1
RANASUG	Rana Sugars	Agricultural Food & other Products Companies	1
536493	JK Agri Genetics	Agricultural Food & other Products Companies	1
531065	Oswal Overseas	Agricultural Food & other Products Companies	1
DTIL	Dhunseri Tea	Agricultural Food & other Products Companies	1
SHEETAL	Sheetal Univer.	Agricultural Food & other Products Companies	1
DOLLEX	Dollex Agrotech	Agricultural Food & other Products Companies	1
540728	Sayaji Industr	Agricultural Food & other Products Companies	1
539275	MANGALAM SEEDS	Agricultural Food & other Products Companies	1
519471	Ambar Protein	Agricultural Food & other Products Companies	1
USASEEDS	Upsurge Seeds	Agricultural Food & other Products Companies	1
TBI	TBI Corn	Agricultural Food & other Products Companies	1
532102	SBEC Sugar	Agricultural Food & other Products Companies	1
544105	Harshdeep Horti.	Agricultural Food & other Products Companies	1
ROML	Raj Oil Mills	Agricultural Food & other Products Companies	1
VISHWARAJ	Vishwaraj Sugar	Agricultural Food & other Products Companies	1
GANGESSECU	Ganges Securitie	Agricultural Food & other Products Companies	1
538926	Naturite Agro	Agricultural Food & other Products Companies	1
500319	Indian Sucrose	Agricultural Food & other Products Companies	1
538564	James Warren Tea	Agricultural Food & other Products Companies	1
519238	Saptarishi Agro	Agricultural Food & other Products Companies	1
532879	Sir Shadi Lal	Agricultural Food & other Products Companies	1
530077	Puretrop Fruits	Agricultural Food & other Products Companies	1
OSWALSEEDS	Shreeoswal Seeds	Agricultural Food & other Products Companies	1
532230	Bengal Tea & Fab	Agricultural Food & other Products Companies	1
508136	B & A	Agricultural Food & other Products Companies	1
GROBTEA	Grob Tea Co	Agricultural Food & other Products Companies	1
NORBTEAEXP	Norben Tea	Agricultural Food & other Products Companies	1
RAJSREESUG	Rajshree Sugars	Agricultural Food & other Products Companies	1
KOHINOOR	Kohinoor Foods	Agricultural Food & other Products Companies	1
541347	Parvati Sweetner	Agricultural Food & other Products Companies	1
507498	Piccadily Sugar	Agricultural Food & other Products Companies	1
543678	Ambo Agritec	Agricultural Food & other Products Companies	1
538092	Shri Vasuprada	Agricultural Food & other Products Companies	1
PRUDMOULI	Pruden. Sugar	Agricultural Food & other Products Companies	1
531923	Dhampur.Spl.Sug.	Agricultural Food & other Products Companies	1
532183	Gayatri Sugars	Agricultural Food & other Products Companies	1
526899	Himalaya Food	Agricultural Food & other Products Companies	1
