Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,199,252,274,330,334
Expenses+,173,219,241,295,297
Operating Profit,26,33,33,35,36
OPM %,13%,13%,12%,11%,11%
Other Income+,1,2,3,5,6
Interest,3,7,8,10,10
Depreciation,11,14,16,17,17
Profit before tax,13,14,12,13,15
Tax %,26%,26%,28%,39%,
Net Profit+,10,11,9,8,10
EPS in Rs,1.42,1.55,1.23,1.09,1.33
Dividend Payout %,6%,5%,0%,0%,
