Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Revenue+,34,48,87,201,409
Interest,10,14,24,57,76
Expenses+,8,12,31,66,110
Financing Profit,16,21,32,77,223
Financing Margin %,46%,44%,37%,39%,54%
Other Income+,0,0,0,-0,0
Depreciation,0,1,1,3,4
Profit before tax,15,21,31,75,218
Tax %,35%,34%,37%,28%,28%
Net Profit+,10,14,20,53,157
EPS in Rs,9.73,12.82,13.75,27.88,65.55
Dividend Payout %,19%,-0%,-0%,-0%,-0%
