Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,187,312,347,306
Expenses+,164,284,316,268
Operating Profit,23,28,32,38
OPM %,12%,9%,9%,12%
Other Income+,0,0,3,5
Interest,6,3,5,7
Depreciation,3,2,5,7
Profit before tax,15,22,25,29
Tax %,31%,30%,32%,25%
Net Profit+,10,16,17,23
EPS in Rs,4.57,7.13,7.83,10.25
Dividend Payout %,0%,12%,11%,15%
