Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,106,225,220,635,683,779
Expenses+,80,170,160,467,477,576
Operating Profit,26,54,60,168,206,203
OPM %,24%,24%,27%,26%,30%,26%
Other Income+,5,15,8,2,12,18
Interest,1,4,1,3,2,1
Depreciation,0,0,0,1,5,7
Profit before tax,29,66,67,165,211,212
Tax %,25%,22%,24%,26%,26%,
Net Profit+,22,51,51,123,157,158
EPS in Rs,105.95,252.35,253.90,8.09,8.45,8.51
Dividend Payout %,0%,0%,0%,0%,0%,
