Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,873,"1,134","2,068","3,029","3,437","3,453"
Expenses+,713,948,"1,773","2,512","2,918","2,969"
Operating Profit,160,186,296,518,518,483
OPM %,18%,16%,14%,17%,15%,14%
Other Income+,12,13,19,37,56,63
Interest,7,11,52,94,134,142
Depreciation,14,19,38,55,56,56
Profit before tax,151,169,225,405,385,348
Tax %,26%,26%,26%,25%,25%,
Net Profit+,112,126,167,304,287,260
EPS in Rs,"1,145.50",16.02,21.29,19.48,16.88,15.36
Dividend Payout %,0%,0%,4%,0%,0%,
