Metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,909,864,"1,081","1,076","1,060"
Expenses+,735,833,"1,042","1,017","1,002"
Operating Profit,174,32,39,59,57
OPM %,19%,4%,4%,5%,5%
Other Income+,8,3,7,11,16
Interest,6,6,25,26,24
Depreciation,12,10,23,29,29
Profit before tax,164,18,-3,14,20
Tax %,25%,36%,35%,56%,
Net Profit+,123,12,-4,6,11
EPS in Rs,65.64,6.58,-1.75,4.77,7.35
Dividend Payout %,0%,0%,0%,0%,
