Metric,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,491,639,"1,053","1,174"
Expenses+,156,188,453,477
Operating Profit,335,450,600,698
OPM %,68%,71%,57%,59%
Other Income+,8,10,35,46
Interest,3,3,9,8
Depreciation,12,13,41,41
Profit before tax,329,444,585,695
Tax %,27%,27%,27%,
Net Profit+,242,325,427,511
EPS in Rs,,,9.89,11.82
Dividend Payout %,0%,0%,25%,
