Metric,Mar 2002
Sales+,122
Expenses+,108
Operating Profit,14
OPM %,11%
Other Income+,2
Interest,0
Depreciation,4
Profit before tax,12
Tax %,11%
Net Profit+,11
EPS in Rs,
Dividend Payout %,8%
